Time_stamp,RPF_Flag,Total_RPF,P_kW,Q_kvar,V1,V2,V3,EnergyCost_USD_per_kWh,P_c_kW,P_d_kW,E_kWh,Pnet_kW,Pmax_kW
01-02 17:00,0,0.0,2650.62,734.67,1.02124526,1.021259208,1.021263372,0.0703,0.0,0.0,36459.804831579386,2650.62,11013.138578826743
01-02 18:00,0,0.0,2711.502,762.171,1.020969964,1.020986743,1.020991032,0.0999,0.0,2711.502,36459.804831579386,0.0,11008.287013776142
01-02 19:00,0,0.0,2826.197,835.463,1.021527843,1.02154916,1.021553032,0.0999,0.0,2826.197,33605.592200000436,0.0,11009.014191769258
01-02 20:00,0,0.0,2734.99,777.154,1.02021877,1.020238797,1.020243294,0.0999,0.0,2734.99,30630.64798947412,0.0,10999.100274519886
01-02 21:00,0,0.0,2657.592,727.857,1.019271305,1.019289917,1.019294871,0.0999,0.0,2657.592,27751.711147368856,0.0,10992.209818412482
01-02 22:00,0,0.0,2596.538,689.075,1.018644728,1.01866234,1.018667294,0.0481,0.0,0.0,24954.245884210963,2596.538,10987.923760331763
01-02 23:00,0,0.0,2501.246,628.743,1.017730072,1.017745643,1.017750431,0.0481,0.0,0.0,24954.245884210963,2501.246,10981.639298832803
01-03 0:00,0,0.0,2392.468,563.541,1.016839856,1.01685601,1.016858051,0.0481,0.0,0.0,24954.245884210963,2392.468,10975.544126132332
01-03 1:00,0,0.0,2355.489,540.305,1.016740638,1.016755793,1.016756584,0.0481,0.0,0.0,24954.245884210963,2355.489,10975.638877527726
01-03 2:00,0,0.0,2383.455,557.875,1.017507486,1.017523141,1.017522309,0.0481,0.0,0.0,24954.245884210963,2383.455,10983.058633107834
01-03 3:00,0,0.0,2400.867,568.825,1.018264759,1.01828083,1.018278291,0.0481,0.0,0.0,24954.245884210963,2400.867,10990.692531215433
01-03 4:00,0,0.0,2402.75,570.009,1.018943881,1.018959953,1.018955914,0.0481,0.0,0.0,24954.245884210963,2402.75,10997.98099596877
01-03 5:00,0,0.0,2413.704,576.903,1.019793502,1.019810031,1.019804577,0.0481,0.0,0.0,24954.245884210963,2413.704,11006.81683985535
01-03 6:00,0,0.0,2475.576,615.9,1.021221236,1.02123914,1.021232436,0.0481,0.0,0.0,24954.245884210963,2475.576,11020.158654018784
01-03 7:00,0,0.0,2552.9,664.772,1.022780041,1.022799693,1.022792157,0.0703,0.0,0.0,24954.245884210963,2552.9,11034.196691752008
01-03 8:00,0,0.0,2416.069,578.389,1.021970224,1.021986087,1.021978759,0.0703,0.0,0.0,24954.245884210963,2416.069,11030.297248306222
01-03 9:00,0,0.0,2179.517,437.0521,1.017983093,1.018034096,1.018012279,0.0703,0.0,0.0,24954.245884210963,2179.517,10993.674210022444
01-03 10:00,0,0.0,2124.228,402.6341,1.017346564,1.017401648,1.017378332,0.0703,0.0,0.0,24954.245884210963,2124.228,10988.104320533455
01-03 11:00,0,0.0,2024.999,344.4507,1.015999894,1.016057643,1.016033245,0.0703,0.0,0.0,24954.245884210963,2024.999,10975.520134896942
01-03 12:00,0,0.0,1862.617,254.8991,1.012904853,1.012978756,1.012948487,0.0703,0.0,0.0,24954.245884210963,1862.617,10944.504736189852
01-03 13:00,0,0.0,1835.11,237.9811,1.011038859,1.011126211,1.011091446,0.0703,0.0,0.0,24954.245884210963,1835.11,10924.713242985015
01-03 14:00,0,0.0,1764.656,194.737,1.009791033,1.00986348,1.009834335,0.0703,0.0,0.0,24954.245884210963,1764.656,10912.08099495953
01-03 15:00,0,0.0,1652.129,129.33203,1.008666866,1.008711708,1.008692888,0.0703,0.0,0.0,24954.245884210963,1652.129,10900.901308524517
01-03 16:00,0,0.0,1654.367,130.6966,1.010879602,1.010870443,1.010874606,0.0703,0.0,0.0,24954.245884210963,1654.367,10924.702995058653
01-03 17:00,0,0.0,1620.705,110.18093,1.009613748,1.009604713,1.009610167,0.0703,0.0,7109.803590000418,24954.245884210963,-5489.098590000418,10911.248463888236
01-03 18:00,0,0.0,1666.258,137.95071,1.009446539,1.009439918,1.009446039,0.0999,0.0,1666.258,17470.242105263154,0.0,10909.15145813831
01-03 19:00,0,0.0,1843.649,246.586,1.01101138,1.01101063,1.011016793,0.0999,0.0,1843.648999999998,15716.286315789472,1.8189894035458565e-12,10924.217228917269
01-03 20:00,0,0.0,1830.102,238.2622,1.010487934,1.010488434,1.010494679,0.0999,0.0,1830.102,13775.603157894737,0.0,10918.751303470557
01-03 21:00,0,0.0,1756.721,193.2501,1.009422015,1.009422348,1.009428344,0.0999,0.0,1756.721,11849.18,0.0,10908.11845777134
01-03 22:00,0,0.0,1669.759,140.08611,1.008312337,1.008311795,1.008317416,0.0481,0.0,0.0,10000.0,1669.759,10896.930489701037
01-03 23:00,0,0.0,1593.319,93.5106,1.007461009,1.00745976,1.007464548,0.0481,0.0,0.0,10000.0,1593.319,10888.220565110149
01-04 0:00,0,0.0,1532.944,56.83344,1.007051229,1.007050313,1.007052353,0.0481,0.0,0.0,10000.0,1532.944,10884.048418150478
01-04 1:00,0,0.0,1496.661,45.24732,1.007162063,1.007160481,1.007161439,0.0481,0.0,0.0,10000.0,1496.661,10885.293456441603
01-04 2:00,0,0.0,1553.01,79.44063,1.008406059,1.008405643,1.008405143,0.0481,0.0,0.0,10000.0,1553.01,10898.550278359506
01-04 3:00,0,0.0,1610.754,114.558888,1.009761763,1.009762305,1.009760223,0.0481,0.0,0.0,10000.0,1610.754,10912.884221467464
01-04 4:00,0,0.0,1676.389,154.5889,1.011262111,1.011264026,1.011260487,0.0481,0.0,0.0,10000.0,1676.389,10928.60704753204
01-04 5:00,0,0.0,1737.263,191.8151,1.012743639,1.012746678,1.012741765,0.0481,0.0,0.0,10000.0,1737.263,10944.029162950259
01-04 6:00,0,0.0,1794.309,220.1678,1.014102008,1.014105839,1.01409976,0.0481,0.0,0.0,10000.0,1794.309,10958.175659838862
01-04 7:00,0,0.0,1900.885,285.7558,1.016018297,1.016024002,1.016016965,0.0703,0.0,0.0,10000.0,1900.885,10977.389680922473
01-04 8:00,0,0.0,1835.887,245.718,1.016011011,1.01601455,1.01600768,0.0703,0.0,0.0,10000.0,1835.887,10978.2584821404
01-04 9:00,0,0.0,1689.039,155.6748,1.014633115,1.01463961,1.014630866,0.0703,0.0,0.0,10000.0,1689.039,10965.022362678188
01-04 10:00,1,-5419.94,-5419.94,625.957,0.9826558761,0.9826375564,0.9826318523,0.0703,5419.94,0.0,10000.0,0.0,10601.81922060415
01-04 11:00,1,-6763.93,-6763.93,859.855,0.9766999946,0.9766829239,0.9766752629,0.0703,6763.93,0.0,15148.943,0.0,10520.824345432246
01-04 12:00,1,-6018.74,-6018.74,643.687,0.9784833408,0.9784509897,0.9784491578,0.0703,6018.74,0.0,21574.6765,0.0,10555.467351242782
01-04 13:00,1,-6700.61,-6700.61,717.745,0.9748192622,0.9747608888,0.9747681334,0.0703,0.0,0.0,27292.4795,-6700.61,10510.735029412635
01-04 14:00,1,-4606.96,-4606.96,275.9062,0.9798003239,0.9797778406,0.9797734688,0.0703,4606.96,0.0,27292.4795,0.0,10585.793775879245
01-04 15:00,0,0.0,1331.434,-47.5738,1.005082811,1.005124281,1.005103921,0.0703,0.0,0.0,31669.091500000002,1331.434,10862.827871140445
01-04 16:00,0,0.0,1602.306,113.173879,1.010366649,1.010357114,1.010359779,0.0703,0.0,0.0,31669.091500000002,1602.306,10919.350215674
01-04 17:00,0,0.0,1805.22,226.8201,1.011853173,1.011849218,1.011852674,0.0703,0.0,0.0,31669.091500000002,1805.22,10933.710911102318
01-04 18:00,0,0.0,2015.359,353.1327,1.013617367,1.013620156,1.013623737,0.0999,0.0,2015.359,31669.091500000002,0.0,10949.480523888653
01-04 19:00,0,0.0,2269.03,500.364,1.0158463,1.015857167,1.015859915,0.0999,0.0,2269.0299999999997,29547.660973684215,4.547473508864641e-13,10967.856195130289
01-04 20:00,0,0.0,2293.215,515.515,1.01574983,1.015762653,1.01576536,0.0999,0.0,2293.215,27159.208342105267,0.0,10966.11070608417
01-04 21:00,0,0.0,2323.175,534.302,1.015928739,1.015943478,1.015945934,0.0999,0.0,2323.175,24745.297815789476,0.0,10967.147344437517
01-04 22:00,0,0.0,2371.125,561.109,1.016431825,1.016448271,1.016450103,0.0481,0.0,0.0,22299.850447368422,2371.125,10971.252968100223
01-04 23:00,0,0.0,2373.775,562.774,1.016564768,1.016581422,1.016582754,0.0481,0.0,9818.587650000009,22299.850447368422,-7444.812650000009,10972.606423805573
01-05 0:00,0,0.0,2393.355,575.097,1.01696976,1.016984998,1.016985082,0.0481,0.0,0.0,11964.495026315784,2393.355,10976.350609661617
01-05 1:00,0,0.0,2407.024,583.703,1.017438288,1.017453901,1.017452569,0.0481,0.0,0.0,11964.495026315784,2407.024,10980.967323661758
01-05 2:00,0,0.0,2455.675,614.376,1.018410235,1.018427305,1.018424224,0.0481,0.0,0.0,11964.495026315784,2455.675,10989.815124912348
01-05 3:00,0,0.0,2515.896,652.431,1.019611137,1.019629707,1.019624835,0.0481,0.0,0.0,11964.495026315784,2515.896,11000.623766645855
01-05 4:00,0,0.0,2569.962,686.684,1.020827653,1.02084768,1.020841185,0.0481,0.0,0.0,11964.495026315784,2569.962,11011.712417662908
01-05 5:00,0,0.0,2642.104,729.208,1.022277205,1.022299272,1.022291236,0.0481,0.0,0.0,11964.495026315784,2642.104,11024.679234183755
01-05 6:00,0,0.0,2764.94,796.277,1.024239668,1.024264899,1.024255323,0.0481,0.0,0.0,11964.495026315784,2764.94,11041.303574493091
01-05 7:00,0,0.0,2882.97,871.866,1.026199883,1.026227946,1.026217537,0.0703,0.0,0.0,11964.495026315784,2882.97,11056.8439134378
01-05 8:00,0,0.0,2786.885,810.303,1.025806466,1.025831656,1.02582133,0.0703,0.0,0.0,11964.495026315784,2786.885,11057.262518475049
01-05 9:00,0,0.0,2548.612,658.704,1.01673485,1.016897355,1.0168364,0.0703,0.0,0.0,11964.495026315784,2548.612,10969.107185415724
01-05 10:00,1,-4701.29,-4701.29,964.801,0.9849516345,0.9850753346,0.9850180021,0.0703,4701.29,0.0,11964.495026315784,0.0,10601.543673257098
01-05 11:00,1,-6464.39,-6464.39,1227.579,0.9782310692,0.9783224183,0.9782741207,0.0703,6464.39,0.0,16430.720526315785,0.0,10501.210704983623
01-05 12:00,1,-6903.75,-6903.75,1216.27,0.9750875636,0.9751760397,0.9751277838,0.0703,0.0,0.0,22571.891026315785,-6903.75,10468.323736581327
01-05 13:00,1,-5869.81,-5869.81,876.335,0.9757897936,0.9759092468,0.9758502072,0.0703,5869.81,0.0,22571.891026315785,0.0,10509.861128299397
01-05 14:00,0,0.0,1900.232,285.3279,1.005115537,1.005312308,1.005237905,0.0703,0.0,0.0,28148.21052631579,1900.232,10859.537984267288
01-05 15:00,0,0.0,1923.731,299.83,1.005552214,1.0057178,1.005654263,0.0703,0.0,0.0,28148.210526315794,1923.731,10863.868661565466
01-05 16:00,0,0.0,2120.337,415.0842,1.016350593,1.016351301,1.016352716,0.0703,0.0,0.0,28148.210526315794,2120.337,10976.868914302882
01-05 17:00,0,0.0,2215.192,474.282,1.016582255,1.016586418,1.016588667,0.0703,0.0,0.0,28148.210526315794,2215.192,10976.976633470735
01-05 18:00,0,0.0,2289.625,509.974,1.016561229,1.01656864,1.016571055,0.0999,0.0,2289.625,28148.210526315794,0.0,10975.14885233167
01-05 19:00,0,0.0,2407.176,583.832,1.017249261,1.017261335,1.0172635,0.0999,0.0,2407.176,25738.078947368424,0.0,10978.914576456118
01-05 20:00,0,0.0,2306.232,520.386,1.01577148,1.01578243,1.015785137,0.0999,0.0,2306.232,23204.209473684212,0.0,10966.114893428075
01-05 21:00,0,0.0,2275.082,500.86,1.015281052,1.01529221,1.015294958,0.0999,0.0,2275.082,20776.596842105264,0.0,10961.717986872893
01-05 22:00,0,0.0,2231.006,473.287,1.014789957,1.014800824,1.01480328,0.0481,0.0,0.0,18381.773684210526,2231.006,10957.630398765785
01-05 23:00,0,0.0,2121.519,404.9928,1.013624445,1.013633272,1.013635104,0.0481,0.0,0.0,18381.773684210526,2121.519,10947.76157049141
01-06 0:00,0,0.0,2007.219,334.0313,1.012409511,1.012412592,1.01241534,0.0481,0.0,0.0,18381.773684210526,2007.219,10937.019303418956
01-06 1:00,0,0.0,1935.474,289.6653,1.011910131,1.011912046,1.011913462,0.0481,0.0,0.0,18381.773684210526,1935.474,10932.885051676532
01-06 2:00,0,0.0,1928.997,285.6663,1.01231225,1.01231429,1.01231429,0.0481,0.0,0.0,18381.773684210526,1928.997,10937.337856454047
01-06 3:00,0,0.0,1946.263,296.3341,1.013101915,1.013104622,1.013103164,0.0481,0.0,0.0,18381.773684210526,1946.263,10945.591850607541
01-06 4:00,0,0.0,1956.029,302.3666,1.013903488,1.013906611,1.013903821,0.0481,0.0,0.0,18381.773684210526,1956.029,10954.09356791894
01-06 5:00,0,0.0,2005.781,333.1535,1.015205774,1.015210271,1.015206024,0.0481,0.0,0.0,18381.773684210526,2005.781,10967.282058785697
01-06 6:00,0,0.0,2086.978,383.5136,1.016864837,1.016870791,1.016865462,0.0481,0.0,0.0,18381.773684210526,2086.978,10983.578615222408
01-06 7:00,0,0.0,2194.407,450.4237,1.018766721,1.018774965,1.018768553,0.0703,0.0,0.0,18381.773684210526,2194.407,11001.611028517684
01-06 8:00,0,0.0,2101.316,392.4259,1.018434925,1.018440129,1.018434009,0.0703,0.0,0.0,18381.773684210526,2101.316,11000.234215578248
01-06 9:00,0,0.0,1914.058,279.8189,1.016683596,1.016689675,1.016681973,0.0703,0.0,0.0,18381.773684210526,1914.058,10984.73235727969
01-06 10:00,0,0.0,1892.494,266.5219,1.016753128,1.016756875,1.016749881,0.0703,0.0,0.0,18381.773684210526,1892.494,10985.797190049587
01-06 11:00,0,0.0,1847.532,238.8522,1.016449894,1.016446938,1.016442608,0.0703,0.0,0.0,18381.773684210526,1847.532,10983.111818592928
01-06 12:00,0,0.0,1806.83,217.2398,1.015790591,1.01578243,1.015780349,0.0703,0.0,0.0,18381.773684210526,1806.83,10976.401460756602
01-06 13:00,0,0.0,1776.163,198.4229,1.0148221,1.014811608,1.014811025,0.0703,0.0,0.0,18381.773684210526,1776.163,10966.279577212837
01-06 14:00,0,0.0,1762.701,190.1723,1.01383762,1.013825421,1.013826545,0.0703,0.0,0.0,18381.773684210526,1762.701,10955.77174990242
01-06 15:00,0,0.0,1804.035,215.5265,1.013387204,1.013375588,1.013378044,0.0703,0.0,0.0,18381.773684210526,1804.035,10950.439564320668
01-06 16:00,0,0.0,1894.38,271.0883,1.013546586,1.013537343,1.01354109,0.0703,0.0,0.0,18381.773684210526,1894.38,10950.953752430418
01-06 17:00,0,0.0,1914.893,283.7336,1.012937703,1.012929959,1.012934872,0.0703,0.0,0.0,18381.773684210526,1914.893,10944.066606431836
01-06 18:00,0,0.0,1959.235,311.1053,1.012703793,1.01269863,1.012704126,0.0999,0.0,1959.235,18381.773684210526,0.0,10940.8215055872
01-06 19:00,0,0.0,2062.987,375.3455,1.013312593,1.013311677,1.013317172,0.0999,0.0,2062.987,16319.421052631578,0.0,10945.435742668913
01-06 20:00,0,0.0,1981.565,324.9026,1.012004061,1.012002812,1.0120086,0.0999,0.0,1981.565,14147.855789473684,0.0,10932.896751697894
01-06 21:00,0,0.0,1958.898,310.8871,1.011579667,1.011579293,1.011584955,0.0999,0.0,1958.8979999999992,12061.997894736842,6.821210263296962e-13,10928.725028522766
01-06 22:00,0,0.0,1894.98,271.4403,1.010815691,1.010815025,1.010820271,0.0481,0.0,0.0,10000.0,1894.98,10921.513166679999
01-06 23:00,0,0.0,1809.911,219.132,1.009900411,1.009898579,1.009902951,0.0481,0.0,0.0,10000.0,1809.911,10912.780954492795
01-07 0:00,0,0.0,1699.254,151.34527,1.00874689,1.008741061,1.008746682,0.0481,0.0,0.0,10000.0,1699.254,10901.419882108288
01-07 1:00,0,0.0,1632.134,113.76391,1.008397066,1.008390279,1.008394776,0.0481,0.0,0.0,10000.0,1632.134,10898.085381547759
01-07 2:00,0,0.0,1678.385,141.97299,1.00945141,1.009445706,1.009448787,0.0481,0.0,0.0,10000.0,1678.385,10909.162415093113
01-07 3:00,0,0.0,1791.329,211.0867,1.011341552,1.011338554,1.011339762,0.0481,0.0,0.0,10000.0,1791.329,10928.505692358172
01-07 4:00,0,0.0,1956.424,312.7104,1.013864559,1.013865142,1.013864684,0.0481,0.0,0.0,10000.0,1956.424,10953.38224375004
01-07 5:00,0,0.0,2149.034,428.8442,1.016687677,1.016692465,1.016690092,0.0481,0.0,0.0,10000.0,2149.034,10979.985931895279
01-07 6:00,0,0.0,2326.969,540.089,1.019377643,1.019386262,1.019382598,0.0481,0.0,0.0,10000.0,2326.969,11004.184646709848
01-07 7:00,0,0.0,2523.718,657.419,1.022201011,1.022214334,1.02220938,0.0703,0.0,0.0,10000.0,2523.718,11028.367968014654
01-07 8:00,0,0.0,2526.244,659.023,1.022866685,1.022879467,1.022874262,0.0703,0.0,0.0,10000.0,2526.244,11035.479662551154
01-07 9:00,1,-3007.89,-3007.89,695.745,0.9912504705,0.9913592649,0.9913118833,0.0703,3007.89,0.0,10000.0,0.0,10690.816962891015
01-07 10:00,1,-5669.98,-5669.98,1102.026,0.9812491261,0.9813458462,0.981299339,0.0703,5669.98,0.0,12857.495499999999,0.0,10547.925168397
01-07 11:00,1,-6634.98,-6634.98,1262.698,0.9773876521,0.9774691334,0.9774264567,0.0703,6634.98,0.0,18243.976499999997,0.0,10487.864364823834
01-07 12:00,1,-7015.21,-7015.21,1289.378,0.9742088392,0.9743184248,0.9742641316,0.0703,7015.21,0.0,24547.207499999997,0.0,10450.001481301448
01-07 13:00,1,-6245.12,-6245.12,1052.494,0.9746288616,0.9747634702,0.9747003503,0.0703,0.0,0.0,31211.656999999996,-6245.12,10481.07345287658
01-07 14:00,1,-3919.92,-3919.92,605.914,0.9812290993,0.981363583,0.9813033776,0.0703,3919.92,0.0,31211.656999999996,0.0,10587.797877375295
01-07 15:00,0,0.0,2069.969,383.7479,1.008016722,1.008155578,1.008103242,0.0703,0.0,0.0,34935.58099999999,2069.969,10887.881168615446
01-07 16:00,0,0.0,2325.582,532.528,1.018490633,1.018490217,1.018494797,0.0703,0.0,0.0,34935.58099999999,2325.582,10994.95060830675
01-07 17:00,0,0.0,2461.954,618.376,1.01910776,1.019112132,1.019117211,0.0703,0.0,0.0,34935.58099999999,2461.954,10997.141543552765
01-07 18:00,0,0.0,2592.255,697.565,1.019650774,1.019659976,1.019664889,0.0999,0.0,2592.255,34935.58099999999,0.0,10998.28325424757
01-07 19:00,0,0.0,2749.044,786.122,1.020579295,1.020594367,1.020598531,0.0999,0.0,2749.044,32206.891526315783,0.0,11002.369445999417
01-07 20:00,0,0.0,2729.517,773.656,1.020008676,1.020024414,1.020028786,0.0999,0.0,2729.517,29313.160999999993,0.0,10997.070564331054
01-07 21:00,0,0.0,2694.057,751.05,1.01953103,1.019546726,1.019551306,0.0999,0.0,2694.057,26439.98521052631,0.0,10993.46315056764
01-07 22:00,0,0.0,2600.744,691.742,1.018605507,1.01861933,1.018624201,0.0481,0.0,0.0,23604.135736842098,2600.744,10987.33144270085
01-07 23:00,0,0.0,2550.393,659.822,1.018220542,1.018233366,1.018238029,0.0481,0.0,0.0,23604.135736842098,2550.393,10985.126328397408
01-08 0:00,0,0.0,2524.994,643.752,1.018162418,1.018175408,1.018180113,0.0481,0.0,0.0,23604.1357368421,2524.994,10985.450496175436
01-08 1:00,0,0.0,2476.614,613.179,1.017937751,1.017949659,1.017953198,0.0481,0.0,0.0,23604.1357368421,2476.614,10984.767424963875
01-08 2:00,0,0.0,2517.281,638.886,1.018812853,1.018825677,1.018827675,0.0481,0.0,0.0,23604.1357368421,2517.281,10992.776334330612
01-08 3:00,0,0.0,2531.147,647.653,1.019483648,1.019496847,1.01949718,0.0481,0.0,0.0,23604.1357368421,2531.147,10999.525814753144
01-08 4:00,0,0.0,2475.433,612.438,1.019475737,1.019487937,1.019486771,0.0481,0.0,0.0,23604.1357368421,2475.433,11001.457087098073
01-08 5:00,0,0.0,2492.997,623.537,1.020363413,1.020376112,1.020373697,0.0481,0.0,0.0,23604.1357368421,2492.997,11010.44298785285
01-08 6:00,0,0.0,2453.541,601.999,1.020697541,1.020709365,1.020706076,0.0481,0.0,0.0,23604.1357368421,2453.541,11015.258229573205
01-08 7:00,0,0.0,2473.484,614.577,1.021632265,1.021644215,1.02164026,0.0703,0.0,0.0,23604.1357368421,2473.484,11024.68181499658
01-08 8:00,0,0.0,2381.434,556.604,1.021290768,1.021300011,1.021296056,0.0703,0.0,0.0,23604.1357368421,2381.434,11024.065098878948
01-08 9:00,0,0.0,2174.503,433.9292,1.01832842,1.018357898,1.01834495,0.0703,0.0,0.0,23604.1357368421,2174.503,10997.5331146255
01-08 10:00,1,-4401.39,-4401.39,711.63,0.9883585702,0.9883468289,0.9883420407,0.0703,4401.39,0.0,23604.1357368421,0.0,10658.267251417617
01-08 11:00,1,-4496.91,-4496.91,655.78,0.9871058727,0.9870857626,0.987083431,0.0703,4496.91,0.0,27785.456236842103,0.0,10648.220517734855
01-08 12:00,1,-3941.89,-3941.89,517.463,0.9884207325,0.9883907547,0.9883921703,0.0703,3941.89,0.0,32057.520736842103,0.0,10669.98399907486
