Time_stamp,Irradiance,P1 (kW),Q1 (kvar),P2 (kW),Q2 (kvar),P3 (kW),Q3 (kvar)
01-03 12:00,282,752.426,148.513,497.856,40.7555,612.335,65.6306
01-03 13:00,340,741.328,141.724,490.508,35.9442,603.274,60.3129
01-03 14:00,293,712.883,124.367,471.708,23.6535,580.065,46.7165
01-03 15:00,200,666.815,99.8236,442.063,4.29623,543.251,25.2122
01-03 16:00,0,667.725,100.374,442.654,4.681,543.988,25.6416
01-03 17:00,0,654.144,92.1644,433.661,-1.16577,532.9,19.1823
01-03 18:00,0,672.515,103.273,445.839,6.75291,547.904,27.9248
01-03 19:00,0,744.126,146.824,493.16,37.6432,606.363,62.1188
01-03 20:00,0,738.664,143.489,489.538,35.2728,601.9,59.5004
01-03 21:00,0,709.06,125.448,469.944,22.4663,577.717,45.3358
01-03 22:00,0,673.94,104.135,446.759,7.35241,549.06,28.5987
01-03 23:00,0,643.098,85.4972,426.341,-5.92,523.88,13.9334
01-04 0:00,0,618.719,70.8211,410.232,-16.3677,503.993,2.38004
01-04 1:00,0,604.031,65.527,400.572,-19.2258,492.058,-1.05388
01-04 2:00,0,626.774,79.1977,415.626,-9.4718,510.61,9.71473
01-04 3:00,0,650.167,93.2984,430.991,0.504488,529.596,20.756
01-04 4:00,0,676.647,109.318,448.524,11.9111,551.218,33.3598
01-04 5:00,0,701.223,124.236,464.764,22.5005,571.276,45.0786
01-04 6:00,0,724.755,135.216,479.978,29.1416,589.576,55.8102
01-04 7:00,0,767.783,161.55,508.412,47.7819,624.69,76.4239
01-04 8:00,0,741.555,145.479,491.05,36.3929,603.282,63.8461
01-04 9:00,27,682.229,109.337,451.891,10.7965,554.919,35.5413
01-04 10:00,146,-1692.03,239.453,-1907.15,181.357,-1820.76,205.147
01-04 11:00,211,-2150.98,310.98,-2344.16,259.726,-2268.79,289.149
01-04 12:00,134,-1906.89,239.915,-2091.34,189.498,-2020.51,214.274
01-04 13:00,62,-2146.93,260.263,-2305.63,214.988,-2248.05,242.494
01-04 14:00,143,-1450.59,116.989,-1611.7,70.3033,-1544.67,88.6139
01-04 15:00,211,537.539,29.2548,356.609,-47.5784,437.286,-29.2502
01-04 16:00,0,647.576,91.8824,428.57,-0.960021,526.16,22.2515
01-04 17:00,0,729.536,138.093,482.723,30.9367,592.961,57.7904
01-04 18:00,0,814.072,189.995,538.514,67.5924,662.773,95.5453
01-04 19:00,0,916.563,249.993,606.086,108.815,746.381,141.556
01-04 20:00,0,926.308,256.092,612.537,113.104,754.37,146.319
01-04 21:00,0,938.402,263.67,620.519,118.415,764.254,152.217
01-04 22:00,0,958.593,273.01,632.81,126.645,779.722,161.454
01-04 23:00,0,959.642,273.67,633.535,127.127,780.598,161.977
01-05 0:00,0,967.544,278.646,638.756,130.61,787.055,165.841
01-05 1:00,0,973.07,282.128,642.39,133.036,791.564,168.539
01-05 2:00,0,992.707,294.522,655.356,141.699,807.612,178.155
01-05 3:00,0,1017.06,309.938,671.354,152.41,827.482,190.083
01-05 4:00,0,1038.89,323.803,685.731,162.055,845.341,200.826
01-05 5:00,0,1068.95,339.634,704.412,174.653,868.742,214.921
01-05 6:00,0,1118.34,367.331,737.223,193.17,909.377,235.776
01-05 7:00,0,1166.01,398.038,768.603,214.401,948.357,259.427
01-05 8:00,0,1127.2,373.026,743.044,197.102,916.641,240.175
01-05 9:00,537,1030.79,311.44,679.753,154.504,838.069,192.76
01-05 10:00,653,-1395.81,369.856,-1726.72,282.842,-1578.76,312.103
01-05 11:00,606,-2002.41,445.162,-2296.29,375.067,-2165.69,407.35
01-05 12:00,627,-2157.98,437.045,-2431.47,372.869,-2314.3,406.356
01-05 13:00,738,-1823.21,325.626,-2075.94,261.395,-1970.66,289.314
01-05 14:00,777,767.732,161.497,508.134,47.5996,624.366,76.2313
01-05 15:00,646,777.206,167.316,514.42,51.7283,632.105,80.7857
01-05 16:00,0,856.975,213.26,566.167,85.8942,697.195,115.93
01-05 17:00,0,895.29,237.133,591.441,102.643,728.461,134.506
01-05 18:00,0,925.41,252.206,611.249,112.286,752.966,145.482
01-05 19:00,0,972.878,282.037,642.545,133.139,791.753,168.656
01-05 20:00,0,932.112,256.407,615.662,115.222,758.458,148.757
01-05 21:00,0,919.539,248.529,607.359,109.7,748.184,142.631
01-05 22:00,0,901.621,237.332,595.686,101.947,733.699,134.008
01-05 23:00,0,857.401,209.796,566.521,82.6278,697.597,112.569
01-06 0:00,0,811.223,181.213,536.077,62.5372,659.919,90.2811
01-06 1:00,0,782.234,163.359,516.966,49.9657,636.274,76.3406
01-06 2:00,0,779.617,161.751,515.241,48.832,634.139,75.0833
01-06 3:00,0,786.584,166.038,519.852,51.8621,639.827,78.434
01-06 4:00,0,790.533,168.466,522.45,53.5703,643.046,80.3303
01-06 5:00,0,810.618,180.848,535.723,62.3046,659.44,90.0009
01-06 6:00,0,843.441,201.138,557.331,76.5546,686.206,105.821
01-06 7:00,0,886.838,228.109,585.943,95.4847,721.626,126.83
01-06 8:00,0,849.239,204.732,561.141,79.0719,690.936,108.622
01-06 9:00,23,772.904,161.033,511.648,46.4351,629.506,72.3508
01-06 10:00,22,764.214,155.702,505.882,42.6508,622.398,68.1691
01-06 11:00,9,745.978,144.545,493.941,34.823,607.613,59.4842
01-06 12:00,1,729.954,134.756,483.26,27.8233,593.616,54.6605
01-06 13:00,1,717.567,127.203,475.071,22.4683,583.525,48.7516
01-06 14:00,0,712.124,123.889,471.485,20.1253,579.092,46.158
01-06 15:00,0,728.806,134.057,482.529,27.3449,592.7,54.1246
01-06 16:00,0,765.308,156.379,506.616,43.1267,622.456,71.5826
01-06 17:00,0,773.589,161.458,512.091,46.7207,629.213,75.5549
01-06 18:00,0,791.491,172.457,523.925,54.4968,643.819,84.1515
01-06 19:00,0,833.489,198.36,551.531,72.6855,677.967,104.3
01-06 20:00,0,800.609,178.065,529.823,58.3784,651.133,88.4592
01-06 21:00,0,791.459,172.431,523.773,54.3975,643.666,84.0586
01-06 22:00,0,765.655,156.58,506.711,43.1887,622.614,71.6716
01-06 23:00,0,731.194,135.513,484.087,28.364,594.63,55.255
01-07 0:00,0,686.491,108.312,454.56,9.08027,558.203,33.953
01-07 1:00,0,658.787,94.9552,436.992,-2.39729,536.355,21.206
01-07 2:00,0,677.456,106.247,449.345,5.64399,551.584,30.082
01-07 3:00,0,723.057,133.947,479.484,25.3152,588.788,51.8245
01-07 4:00,0,789.692,174.726,523.544,54.209,643.188,83.7754
01-07 5:00,0,868.259,219.919,574.46,87.8412,706.315,121.084
01-07 6:00,0,940.091,264.772,621.905,119.341,764.973,155.976
01-07 7:00,0,1019.96,311.811,673.531,153.871,830.227,191.737
01-07 8:00,0,1020.97,312.456,674.227,154.337,831.047,192.23
01-07 9:00,547,-834.68,288.034,-1159.63,190.575,-1013.58,217.136
01-07 10:00,609,-1727.44,409.042,-2041.12,331.202,-1901.42,361.782
01-07 11:00,598,-2060.52,455.999,-2352.13,386.897,-2222.33,419.802
01-07 12:00,745,-2190.25,461.86,-2473.8,396.577,-2351.16,430.941
01-07 13:00,833,-1937.93,385.064,-2211.87,318.438,-2095.32,348.992
01-07 14:00,747,-1166.31,245.15,-1434.69,168.932,-1318.92,191.832
01-07 15:00,550,836.637,200.638,552.753,77.0269,680.579,106.083
01-07 16:00,0,939.935,261.314,620.821,118.656,764.826,152.558
01-07 17:00,0,995.002,296.005,657.125,142.884,809.827,179.487
01-07 18:00,0,1048.52,326.637,691.287,165.827,852.448,205.101
01-07 19:00,0,1111.92,363.208,732.996,190.316,904.128,232.598
01-07 20:00,0,1104.03,358.146,727.787,186.801,897.7,228.709
01-07 21:00,0,1089.71,348.976,718.348,180.439,885.999,221.635
01-07 22:00,0,1051.86,324.831,693.617,163.805,855.267,203.106
01-07 23:00,0,1031.55,311.916,680.188,154.795,838.655,193.111
01-08 0:00,0,1021.27,305.395,673.449,150.28,830.275,188.077
01-08 1:00,0,1001.73,293.02,660.566,141.658,814.318,178.501
01-08 2:00,0,1018.11,303.4,671.443,148.936,827.728,186.55
01-08 3:00,0,1023.73,306.961,675.114,151.395,832.303,189.297
01-08 4:00,0,1001.23,292.705,660.278,141.466,813.925,178.267
01-08 5:00,0,1008.31,297.191,664.968,144.603,819.719,181.743
01-08 6:00,0,991.524,289.972,654.941,137.858,807.076,174.169
01-08 7:00,0,999.59,295.065,660.241,141.401,813.653,178.111
01-08 8:00,0,962.428,271.64,635.72,125.032,783.286,159.932
01-08 9:00,95,878.239,222.44,581.417,88.9212,714.847,122.568
01-08 10:00,137,-1319.44,280.476,-1605.59,202.1,-1476.36,229.054
01-08 11:00,125,-1362.44,258.667,-1623.29,186.664,-1511.18,210.449
01-08 12:00,81,-1183.55,212.974,-1432.23,141.545,-1326.11,162.944
01-08 13:00,55,740.189,144.644,490.177,35.8204,602.176,63.198
01-08 14:00,90,720.851,132.832,477.383,27.4444,586.4,53.9484
01-08 15:00,206,722.02,133.547,478.183,27.9672,587.363,54.5136
01-08 16:00,0,755.866,154.242,500.54,42.6149,614.968,70.709
01-08 17:00,0,767.212,161.2,508.046,47.5414,624.229,76.1532
01-08 18:00,0,808.211,186.403,534.777,65.1265,657.285,95.6253
01-08 19:00,0,861.906,216.326,569.417,88.0451,701.219,118.317
01-08 20:00,0,834.65,199.407,551.461,76.173,678.969,105.13
01-08 21:00,0,816.571,188.216,539.516,68.2908,664.208,96.3982
01-08 22:00,0,799.191,177.485,528.061,60.7434,650.033,88.0268
01-08 23:00,0,816.855,188.398,539.768,68.4565,664.465,96.5522
01-09 0:00,0,808.961,183.516,534.518,64.9964,658.008,92.7355
01-09 1:00,0,785.311,168.931,518.9,54.7152,638.708,81.3474
01-09 2:00,0,796.17,175.629,526.119,59.4651,647.587,86.5859
01-09 3:00,0,795.784,175.389,525.846,59.285,647.265,86.3952
01-09 4:00,0,798.287,176.932,527.5,60.3741,649.308,87.6006
01-09 5:00,0,799.094,177.43,528.03,60.7227,649.966,87.9886
01-09 6:00,0,812.001,185.398,536.559,66.3414,660.501,94.21
01-09 7:00,0,847.685,207.49,560.063,81.8565,689.606,111.43
01-09 8:00,0,848.486,207.988,560.587,82.2031,690.26,111.818
01-09 9:00,26,785.079,168.794,518.779,54.6365,638.534,81.2466
01-09 10:00,54,782.067,166.941,516.798,53.3336,636.077,79.7986
01-09 11:00,292,761.039,154.015,502.904,44.2068,618.918,69.696
01-09 12:00,272,754.938,150.279,498.908,41.5857,613.954,66.7791
01-09 13:00,36,738.163,140.015,487.946,34.4009,600.377,58.8074
01-09 14:00,57,738.263,140.076,488.01,34.4433,600.468,58.8605
01-09 15:00,60,758.633,152.552,501.469,43.2658,617.087,68.6241
01-09 16:00,0,792.567,173.411,523.82,57.9521,644.754,84.9159
01-09 17:00,0,813.26,186.173,537.364,66.8722,661.531,94.8172
01-09 18:00,0,838.601,201.855,554.112,77.9226,682.209,107.049
01-09 19:00,0,893.08,235.752,589.986,101.677,726.657,133.432
01-09 20:00,0,881.185,228.332,582.117,96.4584,716.938,127.652
01-09 21:00,0,872.512,222.927,576.407,92.6734,709.861,123.447
01-09 22:00,0,883.321,229.661,583.564,97.4161,718.696,128.697
01-09 23:00,0,884.342,230.299,584.22,97.8522,719.524,129.189
01-10 0:00,0,879.498,227.279,581.018,95.729,715.566,126.836
01-10 1:00,0,882.203,228.965,582.813,96.9191,717.779,128.152
01-10 2:00,0,922.444,250.349,609.295,110.987,750.546,144.039
01-10 3:00,0,949.51,267.328,627.141,122.865,772.667,157.24
01-10 4:00,0,965.926,277.656,637.989,130.098,786.087,165.265
01-10 5:00,0,1023.12,313.816,675.641,155.285,832.821,193.296
01-10 6:00,0,1094.08,355.135,722.352,183.096,890.698,224.489
01-10 7:00,0,1150.83,391.576,759.757,208.366,937.141,252.629
01-10 8:00,0,1114.6,368.285,735.866,192.212,907.507,234.657
01-10 9:00,456,1028.93,313.644,679.568,154.34,837.633,192.507
01-10 10:00,462,-1563.07,394.57,-1887.82,311.903,-1742.93,341.783
01-10 11:00,540,-1974.18,429.623,-2262.72,360.088,-2135.07,391.78
01-10 12:00,529,-2162.21,428.758,-2417.14,366.717,-2306.22,399.319
01-10 13:00,515,-1983.81,353.322,-2220.08,293.223,-2119.54,322.253
01-10 14:00,655,-1113.12,205.101,-1360.75,133.757,-1255.01,154.563
01-10 15:00,643,786.155,172.794,520.159,55.507,640.07,82.1465
01-10 16:00,0,874.757,224.298,577.622,93.4785,711.374,124.343
01-10 17:00,0,912.768,244.271,602.764,106.646,742.453,139.217
01-10 18:00,0,940.414,261.592,620.982,118.762,765.035,152.682
01-10 19:00,0,990.589,293.185,653.909,140.732,805.858,177.103
01-10 20:00,0,955.036,270.772,630.491,125.097,776.835,159.728
01-10 21:00,0,925.722,252.372,611.183,112.242,752.909,145.445
01-10 22:00,0,906.311,240.234,598.513,103.823,737.203,136.091
01-10 23:00,0,866.696,215.572,572.658,86.6868,705.185,117.069
01-11 0:00,0,814.449,183.205,538.203,63.938,662.55,91.8349
01-11 1:00,0,780.516,162.304,515.833,49.2213,634.873,75.5156
01-11 2:00,0,847.088,203.399,559.741,78.1458,689.183,107.584
01-11 3:00,0,858.174,210.278,567.059,82.983,698.237,112.949
01-11 4:00,0,841.92,200.193,556.294,75.87,684.953,105.079
01-11 5:00,0,857.155,209.646,566.394,82.5435,697.408,112.458
01-11 6:00,0,889.932,230.038,587.98,96.8353,724.151,128.33
01-11 7:00,0,951.863,268.813,628.808,123.976,774.724,158.472
01-11 8:00,0,929.706,254.907,614.15,114.217,756.609,147.657
01-11 9:00,0,-1050.03,263.502,-1344.81,177.616,-1216.16,202.195
01-11 10:00,1,-1793.37,387.427,-2081.17,315.917,-1954.54,345.517
01-11 11:00,1,-2227.4,477.934,-2501.39,413.579,-2379.96,447.935
01-11 12:00,0,-2377.11,504.478,-2650.84,442.939,-2532.45,479.652
01-11 13:00,0,-1989,403.725,-2263.32,338.299,-2146.33,369.461
01-11 14:00,0,-1187.03,265.737,-1466.67,187.097,-1345.29,211.052
01-11 15:00,1,886.199,231.458,585.416,98.6463,721.024,130.081
01-11 16:00,0,1012.32,306.968,668.504,150.501,823.966,187.973
01-11 17:00,0,1105.47,362.427,729.854,188.155,900.01,230.12
01-11 18:00,0,1186.11,411.041,781.743,223.32,964.741,269.396
01-11 19:00,0,1246.22,450.146,821.343,250.28,1013.96,299.452
01-11 20:00,0,1219.9,432.982,804.01,238.463,992.396,286.264
01-11 21:00,0,1204.14,422.735,793.602,231.378,979.491,278.385
01-11 22:00,0,1154.29,390.47,760.868,209.161,938.743,253.585
01-11 23:00,0,1108.72,361.158,730.883,188.89,901.544,231.034
01-12 0:00,0,1081.81,343.937,713.33,177.059,879.729,217.855
01-12 1:00,0,1052.32,325.123,693.902,163.997,855.633,203.327
01-12 2:00,0,1049.32,323.213,691.928,162.671,853.181,201.85
01-12 3:00,0,1053.58,325.927,694.752,164.568,856.669,203.951
01-12 4:00,0,1090.49,349.488,719.045,180.908,886.814,222.133
01-12 5:00,0,1124.1,371.035,741.154,195.824,914.264,238.74
01-12 6:00,0,1151.81,388.872,759.235,208.054,936.74,252.368
01-12 7:00,0,1193.25,415.669,786.515,226.559,970.617,272.977
01-12 8:00,0,1177.54,405.498,776.119,219.501,957.757,265.144
01-12 9:00,0,1090.13,349.244,718.632,180.631,886.352,221.849
01-12 10:00,11,-1059.2,358.851,-1417.3,257.435,-1256.51,287.388
01-12 11:00,22,-1612.35,401.118,-1935.36,319.639,-1791.22,349.794
01-12 12:00,12,-1970.09,426.009,-2257.01,356.694,-2130.23,388.256
01-12 13:00,1,-1503.39,316.194,-1782.72,242.492,-1661.24,268.755
01-12 14:00,11,856.32,212.853,565.726,85.6024,696.64,115.6
01-12 15:00,51,884.978,230.696,584.643,98.1322,720.043,129.498
01-12 16:00,0,958.012,272.675,632.723,126.586,779.603,161.385
01-12 17:00,0,986.119,290.393,651.266,138.966,802.569,175.135
01-12 18:00,0,1014.83,308.557,670.181,151.625,826.023,189.21
01-12 19:00,0,1083.06,348.094,715.097,178.209,881.695,219.049
01-12 20:00,0,1044.77,323.702,690.007,161.342,850.58,200.294
01-12 21:00,0,1017.94,306.671,672.304,149.474,828.635,187.101
01-12 22:00,0,1002.09,296.645,661.831,142.465,815.676,179.322
01-12 23:00,0,967.947,275.111,639.357,127.457,787.795,162.627
01-13 0:00,0,932.679,252.969,616.116,111.981,758.972,145.42
01-13 1:00,0,921.02,245.678,608.547,106.951,749.608,139.842
01-13 2:00,0,930.728,251.754,614.961,111.213,757.539,144.568
01-13 3:00,0,929.313,250.867,614.006,110.578,756.374,143.873
01-13 4:00,0,927.59,249.789,612.869,109.823,754.967,143.035
01-13 5:00,0,941.655,258.601,622.174,116.01,766.467,149.892
01-13 6:00,0,974.612,279.314,643.879,130.473,793.379,165.971
01-13 7:00,0,1038.2,319.525,685.663,158.427,845.216,197.066
01-13 8:00,0,1045.41,324.109,690.439,161.632,851.103,200.61
01-13 9:00,0,1014.75,304.657,670.207,148.07,826.036,185.54
01-13 10:00,0,-1669.35,435.077,-2006.51,351.947,-1854.73,383.379
01-13 11:00,0,-2163.86,528.081,-2482.93,456.12,-2337.85,491.376
01-13 12:00,0,-1632.39,415.587,-1958.66,334.582,-1812.5,364.934
01-13 13:00,0,-1882.86,425.785,-2182.06,353.404,-2049.12,384.583
01-13 14:00,5,-1202.17,293.845,-1500.29,211.445,-1362.66,238.575
01-13 15:00,6,929.662,258.234,614.98,114.733,756.439,150.885
01-13 16:00,0,1053.05,329.521,694.262,167.827,856.14,207.325
01-13 17:00,0,1136.78,379.185,749.35,201.364,924.436,244.901
01-13 18:00,0,1213.34,428.713,799.741,235.554,987.044,282.997
01-13 19:00,0,1308.1,486.514,861.957,274.356,1064.42,326.575
01-13 20:00,0,1311.3,488.618,864.114,275.834,1067.06,328.202
01-13 21:00,0,1339.75,507.36,882.823,288.676,1090.35,342.533
01-13 22:00,0,1351.95,515.413,890.875,294.211,1100.35,348.7
01-13 23:00,0,1347.54,512.503,887.907,292.172,1096.71,346.453
01-14 0:00,0,1336.04,504.912,880.317,286.955,1087.28,340.643
01-14 1:00,0,1338.67,506.649,882.108,288.185,1089.46,341.99
01-14 2:00,0,1363.28,522.908,898.284,299.312,1109.6,354.41
01-14 3:00,0,1369.94,527.319,902.677,302.337,1115.06,357.785
01-14 4:00,0,1370.32,527.574,902.902,302.492,1115.36,357.97
01-14 5:00,0,1386.48,534.97,912.086,308.873,1127.12,365.201
01-14 6:00,0,1409.94,550.577,927.589,319.576,1146.37,377.122
01-14 7:00,0,1461.47,580.585,961.319,339.122,1188.37,399.251
01-14 8:00,0,1427.51,557.9,939.061,323.712,1160.61,382.021
01-14 9:00,387,1350.22,506.694,888.902,289.143,1098.06,343.389
01-14 10:00,478,-1129.72,510.879,-1574.1,390.71,-1372.96,426.082
01-14 11:00,557,-1652.92,550.041,-2068.25,451.645,-1883,487.158
01-14 12:00,636,-1775.19,531.946,-2159.82,442.531,-1990.61,477.052
01-14 13:00,548,-1493.04,455.476,-1865.1,361.937,-1703.49,393.56
01-14 14:00,321,-644.239,350.189,-1018.09,234.019,-853.239,262.631
01-14 15:00,152,1100.83,359.523,726.543,189.263,896.895,228.245
01-14 16:00,0,1155.19,394.432,762.968,210.54,941.092,255.034
01-14 17:00,0,1170.57,401.028,771.868,216.618,952.464,261.93
01-14 18:00,0,1179.44,406.762,777.785,220.631,959.757,266.369
01-14 19:00,0,1217.92,431.736,803.091,237.836,991.219,285.552
01-14 20:00,0,1172.73,402.425,773.327,217.606,954.26,263.022
01-14 21:00,0,1142.17,382.693,753.219,203.982,929.272,247.84
01-14 22:00,0,1106.43,359.723,729.698,188.091,900.065,230.144
01-14 23:00,0,1070.12,336.505,705.945,172.091,870.561,212.327
01-15 0:00,0,1021.52,305.589,673.925,150.6,830.856,188.43
01-15 1:00,0,977.225,280.985,645.8,131.755,795.745,167.387
01-15 2:00,0,961.877,271.322,635.612,124.961,783.17,159.865
01-15 3:00,0,952.776,265.604,629.641,120.982,775.726,155.419
01-15 4:00,0,947.559,262.328,626.194,118.686,771.48,152.884
01-15 5:00,0,939.16,257.059,620.648,114.996,764.615,148.787
01-15 6:00,0,936.516,255.402,618.917,113.844,762.461,147.502
01-15 7:00,0,966.99,274.54,639.024,127.235,787.363,162.373
01-15 8:00,0,954.258,266.535,630.595,121.618,776.947,156.148
01-15 9:00,150,871.511,218.259,576.974,85.9801,709.355,119.311
01-15 10:00,252,839.843,198.629,556.038,72.1467,683.507,104.011
01-15 11:00,408,809.061,179.632,535.194,61.8141,658.509,89.2453
01-15 12:00,352,-1006.14,194.644,-1259.73,119.746,-1145.19,142.545
01-15 13:00,179,-1163.88,191.337,-1407.09,120.704,-1299.85,143.401
01-15 14:00,231,751.509,151.572,497.643,40.715,611.406,68.6162
01-15 15:00,342,781.69,170.094,517.596,53.8174,636.036,83.1018
01-15 16:00,0,803.982,183.795,531.983,63.2854,653.82,93.5809
01-15 17:00,0,811.195,188.245,536.753,66.4288,659.724,97.0657
01-15 18:00,0,842.902,204.523,556.892,79.7612,685.711,109.122
01-15 19:00,0,897.97,238.807,593.209,103.817,730.649,135.808
01-15 20:00,0,883.446,229.741,583.602,97.4428,718.781,128.748
01-15 21:00,0,882.725,229.29,583.151,97.1432,718.202,128.404
01-15 22:00,0,884.605,230.463,584.395,97.9679,719.738,129.317
01-15 23:00,0,875.726,224.928,578.524,94.0761,712.484,125.005
01-16 0:00,0,843.658,204.992,557.398,80.0952,686.319,109.483
01-16 1:00,0,823.896,192.747,544.343,71.4744,670.183,99.9308
01-16 2:00,0,833.113,198.455,550.468,75.5171,677.722,104.392
01-16 3:00,0,839.495,202.41,554.671,78.2926,682.927,107.474
01-16 4:00,0,860.184,215.255,568.333,87.3259,699.819,117.487
01-16 5:00,0,877.276,225.893,579.592,94.783,713.767,125.768
01-16 6:00,0,913.687,244.874,603.636,107.226,743.531,139.862
01-16 7:00,0,963.032,275.84,636.168,128.884,783.847,163.927
01-16 8:00,0,931.721,256.167,615.514,115.123,758.27,148.648
01-16 9:00,469,845.253,202.259,558.505,77.3304,687.683,106.695
01-16 10:00,709,-1100.36,223.148,-1365.47,146.308,-1250.98,168.657
01-16 11:00,778,-1100.13,193.711,-1346.15,122.149,-1235.36,144.716
01-16 12:00,832,707.393,128.199,468.343,24.983,576.003,48.0449
01-16 13:00,796,670.224,105.612,443.805,8.96834,545.682,30.3135
01-16 14:00,571,624.659,78.077,413.72,-10.5965,508.523,8.66398
01-16 15:00,332,593.711,59.4631,393.253,-23.8641,483.28,-5.99468
01-16 16:00,0,629.214,80.8226,416.734,-8.64021,512.237,10.8239
01-16 17:00,0,658.739,98.6602,436.261,4.05497,536.327,24.8564
01-16 18:00,0,670.206,105.602,443.81,8.97165,545.673,30.3085
01-16 19:00,0,656.54,97.3226,434.757,3.07627,534.516,23.7976
01-16 20:00,0,598.68,62.4539,396.565,-21.7184,487.343,-3.63593
01-16 21:00,0,577.013,49.472,382.332,-30.9269,469.768,-13.8196
01-16 22:00,0,549.435,32.9942,364.093,-42.7028,447.281,-26.8225
01-16 23:00,0,505.158,6.6744,334.868,-61.5134,411.206,-47.6121
01-17 0:00,0,462.587,-18.4887,306.725,-79.5608,376.533,-67.5179
01-17 1:00,0,438.862,-29.0413,291.594,-89.2739,357.72,-78.3036
