Time_stamp,RPF_Flag,EnergyCost_USD_per_kWh,P_kW,Q_kvar,Total_RPF,TotalRPF_kW,P_c_kW,P_d_kW,E_kWh,Pnet_kW,Pmax_kW,Pmax_kW_chk,V1,V2,V3,VLL_min_kV,Smax_kVA,charge_when_RPF0,charge_exceed_TotalRPF,discharge_cap_active,discharge_cap_violation,ampacity_violation,ampacity_binding,at_Pcmax,at_Pdmax,mutex_violation
01-02 21:00,0,0.0999,2657.592,727.857,0.0,-0.0,0.0,2657.592,27751.711147368856,0.0,10992.209818412482,10992.209818412482,1.019271305,1.019289917,1.019294871,4.2401686288,11016.281246611888,False,False,True,False,False,False,False,False,False
01-02 22:00,0,0.0481,2596.538,689.075,0.0,-0.0,0.0,0.0,24954.245884210963,2596.538,10987.923760331763,10987.923760331763,1.018644728,1.01866234,1.018667294,4.23756206848,11009.509204251039,False,False,False,False,False,False,False,False,False
01-02 23:00,0,0.0481,2501.246,628.743,0.0,-0.0,0.0,0.0,24954.245884210963,2501.246,10981.639298832804,10981.639298832803,1.017730072,1.017745643,1.017750431,4.23375709952,10999.623604911125,False,False,False,False,False,False,False,False,False
01-03 0:00,0,0.0481,2392.468,563.541,0.0,-0.0,0.0,0.0,24954.245884210963,2392.468,10975.544126132332,10975.544126132332,1.016839856,1.01685601,1.016858051,4.23005380096,10990.00215301885,False,False,False,False,False,False,False,False,False
01-03 1:00,0,0.0481,2355.489,540.305,0.0,-0.0,0.0,0.0,24954.245884210963,2355.489,10975.638877527726,10975.638877527726,1.016740638,1.016755793,1.016756584,4.22964105408,10988.929805168613,False,False,False,False,False,False,False,False,False
01-03 2:00,0,0.0481,2383.455,557.875,0.0,-0.0,0.0,0.0,24954.245884210963,2383.455,10983.058633107834,10983.058633107834,1.017507486,1.017523141,1.017522309,4.23283114176,10997.217896082151,False,False,False,False,False,False,False,False,False
01-03 3:00,0,0.0481,2400.867,568.825,0.0,-0.0,0.0,0.0,24954.245884210963,2400.867,10990.692531215433,10990.692531215433,1.018264759,1.01828083,1.018278291,4.23598139744,11005.40250042404,False,False,False,False,False,False,False,False,False
01-03 4:00,0,0.0481,2402.75,570.009,0.0,-0.0,0.0,0.0,24954.245884210963,2402.75,10997.98099596877,10997.98099596877,1.018943881,1.018959953,1.018955914,4.23880654496,11012.742448989316,False,False,False,False,False,False,False,False,False
01-03 5:00,0,0.0481,2413.704,576.903,0.0,-0.0,0.0,0.0,24954.245884210963,2413.704,11006.81683985535,11006.81683985535,1.019793502,1.019810031,1.019804577,4.24234096832,11021.925150241781,False,False,False,False,False,False,False,False,False
01-03 6:00,0,0.0481,2475.576,615.9,0.0,-0.0,0.0,0.0,24954.245884210963,2475.576,11020.158654018784,11020.158654018784,1.021221236,1.02123914,1.021232436,4.24828034176,11037.35609508659,False,False,False,False,False,False,False,False,False
01-03 7:00,0,0.0703,2552.9,664.772,0.0,-0.0,0.0,0.0,24954.245884210963,2552.9,11034.196691752008,11034.196691752008,1.022780041,1.022799693,1.022792157,4.25476497056,11054.203654911327,False,False,False,False,False,False,False,False,False
01-03 8:00,0,0.0703,2416.069,578.389,0.0,-0.0,0.0,0.0,24954.245884210963,2416.069,11030.297248306222,11030.297248306222,1.021970224,1.021986087,1.021978759,4.25139613184,11045.45115517301,False,False,False,False,False,False,False,False,False
01-03 9:00,0,0.0703,2179.517,437.0521,0.0,-0.0,0.0,0.0,24954.245884210963,2179.517,10993.674210022444,10993.674210022444,1.017983093,1.018034096,1.018012279,4.23480966688,11002.35825512999,False,False,False,False,False,False,False,False,False
01-03 10:00,0,0.0703,2124.228,402.6341,0.0,-0.0,0.0,0.0,24954.245884210963,2124.228,10988.104320533455,10988.104320533455,1.017346564,1.017401648,1.017378332,4.232161706239999,10995.478651582604,False,False,False,False,False,False,False,False,False
01-03 11:00,0,0.0703,2024.999,344.4507,0.0,-0.0,0.0,0.0,24954.245884210963,2024.999,10975.520134896942,10975.520134896942,1.015999894,1.016057643,1.016033245,4.22655955904,10980.923846209784,False,False,False,False,False,False,False,False,False
01-03 12:00,0,0.0703,1862.617,254.8991,0.0,-0.0,0.0,0.0,24954.245884210963,1862.617,10944.504736189852,10944.504736189852,1.012904853,1.012978756,1.012948487,4.21368418848,10947.472652245491,False,False,False,False,False,False,False,False,False
01-03 13:00,0,0.0703,1835.11,237.9811,0.0,-0.0,0.0,0.0,24954.245884210963,1835.11,10924.713242985015,10924.713242985015,1.011038859,1.011126211,1.011091446,4.20592165344,10927.30499461827,False,False,False,False,False,False,False,False,False
01-03 14:00,0,0.0703,1764.656,194.737,0.0,-0.0,0.0,0.0,24954.245884210963,1764.656,10912.08099495953,10912.08099495953,1.009791033,1.00986348,1.009834335,4.20073069728,10913.818494904795,False,False,False,False,False,False,False,False,False
01-03 15:00,0,0.0703,1652.129,129.33203,0.0,-0.0,0.0,0.0,24954.245884210963,1652.129,10900.901308524515,10900.901308524517,1.008666866,1.008711708,1.008692888,4.19605416256,10901.668501297196,False,False,False,False,False,False,False,False,False
01-03 16:00,0,0.0703,1654.367,130.6966,0.0,-0.0,0.0,0.0,24954.245884210963,1654.367,10924.702995058651,10924.702995058653,1.010879602,1.010870443,1.010874606,4.20522104288,10925.48475498891,False,False,False,False,False,False,False,False,False
01-03 17:00,0,0.0703,1620.705,110.18093,0.0,-0.0,0.0,7109.803590000418,24954.245884210963,-5489.098590000418,10911.248463888236,10911.248463888236,1.009613748,1.009604713,1.009610167,4.1999556060800005,10911.804748896448,False,False,False,False,False,False,False,False,False
01-03 18:00,0,0.0999,1666.258,137.95071,0.0,-0.0,0.0,1666.258,17470.242105263154,0.0,10909.15145813831,10909.15145813831,1.009446539,1.009439918,1.009446039,4.19927005888,10910.023645024365,False,False,True,False,False,False,False,False,False
01-03 19:00,0,0.0999,1843.649,246.586,0.0,-0.0,0.0,1843.648999999998,15716.286315789472,1.8189894035458565e-12,10924.217228917269,10924.217228917269,1.01101138,1.01101063,1.011016793,4.2058042208,10926.99989566985,False,False,True,False,False,False,False,False,False
01-03 20:00,0,0.0999,1830.102,238.2622,0.0,-0.0,0.0,1830.102,13775.603157894737,0.0,10918.751303470555,10918.751303470557,1.010487934,1.010488434,1.010494679,4.203629805439999,10921.35059884943,False,False,True,False,False,False,False,False,False
01-03 21:00,0,0.0999,1756.721,193.2501,0.0,-0.0,0.0,1756.721,11849.18,0.0,10908.11845777134,10908.11845777134,1.009422015,1.009422348,1.009428344,4.1991955824,10909.830149453372,False,False,True,False,False,False,False,False,False
01-03 22:00,0,0.0481,1669.759,140.08611,0.0,-0.0,0.0,0.0,10000.0,1669.759,10896.930489701035,10896.930489701037,1.008312337,1.008311795,1.008317416,4.1945770672,10897.830894980478,False,False,False,False,False,False,False,False,False
01-03 23:00,0,0.0481,1593.319,93.5106,0.0,-0.0,0.0,0.0,10000.0,1593.319,10888.220565110149,10888.220565110149,1.007461009,1.00745976,1.007464548,4.1910326016,10888.622103223159,False,False,False,False,False,False,False,False,False
01-04 0:00,0,0.0481,1532.944,56.83344,0.0,-0.0,0.0,0.0,10000.0,1532.944,10884.048418150478,10884.048418150478,1.007051229,1.007050313,1.007052353,4.18932930208,10884.196801259437,False,False,False,False,False,False,False,False,False
01-04 1:00,0,0.0481,1496.661,45.24732,0.0,-0.0,0.0,0.0,10000.0,1496.661,10885.293456441605,10885.293456441603,1.007162063,1.007160481,1.007161439,4.189787600960001,10885.387496677256,False,False,False,False,False,False,False,False,False
01-04 2:00,0,0.0481,1553.01,79.44063,0.0,-0.0,0.0,0.0,10000.0,1553.01,10898.550278359506,10898.550278359506,1.008406059,1.008405643,1.008405143,4.1949653948800005,10898.8397998881,False,False,False,False,False,False,False,False,False
01-04 3:00,0,0.0481,1610.754,114.558888,0.0,-0.0,0.0,0.0,10000.0,1610.754,10912.884221467464,10912.884221467464,1.009761763,1.009762305,1.009760223,4.20060252768,10913.485500516017,False,False,False,False,False,False,False,False,False
01-04 4:00,0,0.0481,1676.389,154.5889,0.0,-0.0,0.0,0.0,10000.0,1676.389,10928.60704753204,10928.60704753204,1.011262111,1.011264026,1.011260487,4.2068436259199995,10929.700349386078,False,False,False,False,False,False,False,False,False
01-04 5:00,0,0.0481,1737.263,191.8151,0.0,-0.0,0.0,0.0,10000.0,1737.263,10944.02916295026,10944.029162950259,1.012743639,1.012746678,1.012741765,4.2130057424,10945.709997624355,False,False,False,False,False,False,False,False,False
01-04 6:00,0,0.0481,1794.309,220.1678,0.0,-0.0,0.0,0.0,10000.0,1794.309,10958.175659838862,10958.175659838862,1.014102008,1.014105839,1.01409976,4.2186550016,10960.387203563645,False,False,False,False,False,False,False,False,False
01-04 7:00,0,0.0703,1900.885,285.7558,0.0,-0.0,0.0,0.0,10000.0,1900.885,10977.389680922472,10977.389680922473,1.016018297,1.016024002,1.016016965,4.2266305744,10981.10834952724,False,False,False,False,False,False,False,False,False
01-04 8:00,0,0.0703,1835.887,245.718,0.0,-0.0,0.0,0.0,10000.0,1835.887,10978.2584821404,10978.2584821404,1.016011011,1.01601455,1.01600768,4.2265919488,10981.007997274732,False,False,False,False,False,False,False,False,False
01-04 9:00,0,0.0703,1689.039,155.6748,0.0,-0.0,0.0,0.0,10000.0,1689.039,10965.022362678188,10965.022362678188,1.014633115,1.01463961,1.014630866,4.22086440256,10966.127395639163,False,False,False,False,False,False,False,False,False
01-04 10:00,1,0.0703,-5419.94,625.957,-5419.94,5419.94,5419.94,0.0,10000.0,0.0,10601.81922060415,10601.81922060415,0.9826558761,0.9826375564,0.9826318523,4.087748505568,10620.282150311288,False,False,False,False,False,False,False,False,False
01-04 11:00,1,0.0703,-6763.93,859.855,-6763.93,6763.93,6763.93,0.0,15148.943,0.0,10520.824345432246,10520.824345432246,0.9766999946,0.9766829239,0.9766752629,4.062969093664,10555.90334971218,False,False,False,False,False,False,False,False,False
01-04 12:00,1,0.0703,-6018.74,643.687,-6018.74,6018.74,6018.74,0.0,21574.6765,0.0,10555.467351242782,10555.467351242782,0.9784833408,0.9784509897,0.9784491578,4.070348496448,10575.075600539285,False,False,False,False,False,False,False,False,False
01-04 13:00,1,0.0703,-6700.61,717.745,-6700.61,6700.61,0.0,0.0,27292.4795,-6700.61,10510.735029412635,10510.735029412635,0.9748192622,0.9747608888,0.9747681334,4.055005297408,10535.212800107402,False,False,False,False,False,False,False,False,False
01-04 14:00,1,0.0703,-4606.96,275.9062,-4606.96,4606.96,4606.96,0.0,27292.4795,0.0,10585.793775879243,10585.793775879245,0.9798003239,0.9797778406,0.9797734688,4.0758576302080005,10589.388749906306,False,False,False,False,False,False,False,False,False
01-04 15:00,0,0.0703,1331.434,-47.5738,0.0,-0.0,0.0,0.0,31669.0915,1331.434,10862.827871140444,10862.827871140445,1.005082811,1.005124281,1.005103921,4.181144493760001,10862.93204546876,False,False,False,False,False,False,False,False,False
01-04 16:00,0,0.0703,1602.306,113.173879,0.0,-0.0,0.0,0.0,31669.0915,1602.306,10919.350215674,10919.350215674,1.010366649,1.010357114,1.010359779,4.20308559424,10919.93669667676,False,False,False,False,False,False,False,False,False
01-04 17:00,0,0.0703,1805.22,226.8201,0.0,-0.0,0.0,0.0,31669.0915,1805.22,10933.710911102318,10933.710911102318,1.011853173,1.011849218,1.011852674,4.20929274688,10936.063352290983,False,False,False,False,False,False,False,False,False
01-04 18:00,0,0.0999,2015.359,353.1327,0.0,-0.0,0.0,2015.359,31669.0915,0.0,10949.480523888653,10949.480523888653,1.013617367,1.013620156,1.013623737,4.21664824672,10955.1735014479,False,False,True,False,False,False,False,False,False
01-04 19:00,0,0.0999,2269.03,500.364,0.0,-0.0,0.0,2269.03,29547.66097368421,4.547473508864641e-13,10967.856195130287,10967.856195130289,1.0158463,1.015857167,1.015859915,4.225920608,10979.263802712541,False,False,True,False,False,False,False,False,False
01-04 20:00,0,0.0999,2293.215,515.515,0.0,-0.0,0.0,2293.215,27159.208342105267,0.0,10966.11070608417,10966.11070608417,1.01574983,1.015762653,1.01576536,4.2255192928000005,10978.221155238167,False,False,True,False,False,False,False,False,False
01-04 21:00,0,0.0999,2323.175,534.302,0.0,-0.0,0.0,2323.175,24745.29781578948,0.0,10967.147344437515,10967.147344437517,1.015928739,1.015943478,1.015945934,4.22626355424,10980.154803180458,False,False,True,False,False,False,False,False,False
01-04 22:00,0,0.0481,2371.125,561.109,0.0,-0.0,0.0,0.0,22299.850447368422,2371.125,10971.252968100223,10971.252968100223,1.016431825,1.016448271,1.016450103,4.228356392,10985.592155178936,False,False,False,False,False,False,False,False,False
01-04 23:00,0,0.0481,2373.775,562.774,0.0,-0.0,0.0,9818.587650000009,22299.850447368422,-7444.812650000009,10972.606423805571,10972.606423805573,1.016564768,1.016581422,1.016582754,4.22890943488,10987.029002729323,False,False,False,False,False,False,False,False,False
01-05 0:00,0,0.0481,2393.355,575.097,0.0,-0.0,0.0,0.0,11964.495026315784,2393.355,10976.350609661617,10976.350609661617,1.01696976,1.016984998,1.016985082,4.230594201600001,10991.406155066235,False,False,False,False,False,False,False,False,False
01-05 1:00,0,0.0481,2407.024,583.703,0.0,-0.0,0.0,0.0,11964.495026315784,2407.024,10980.967323661758,10980.967323661758,1.017438288,1.017453901,1.017452569,4.23254327808,10996.47000430303,False,False,False,False,False,False,False,False,False
01-05 2:00,0,0.0481,2455.675,614.376,0.0,-0.0,0.0,0.0,11964.495026315784,2455.675,10989.815124912348,10989.815124912348,1.018410235,1.018427305,1.018424224,4.2365865776,11006.974804601317,False,False,False,False,False,False,False,False,False
01-05 3:00,0,0.0481,2515.896,652.431,0.0,-0.0,0.0,0.0,11964.495026315784,2515.896,11000.623766645856,11000.623766645855,1.019611137,1.019629707,1.019624835,4.24158232992,11019.954149861724,False,False,False,False,False,False,False,False,False
01-05 4:00,0,0.0481,2569.962,686.684,0.0,-0.0,0.0,0.0,11964.495026315784,2569.962,11011.712417662908,11011.712417662908,1.020827653,1.02084768,1.020841185,4.24664303648,11033.1022511879,False,False,False,False,False,False,False,False,False
01-05 5:00,0,0.0481,2642.104,729.208,0.0,-0.0,0.0,0.0,11964.495026315784,2642.104,11024.679234183755,11024.679234183755,1.022277205,1.022299272,1.022291236,4.2526731728,11048.769004912108,False,False,False,False,False,False,False,False,False
01-05 6:00,0,0.0481,2764.94,796.277,0.0,-0.0,0.0,0.0,11964.495026315784,2764.94,11041.303574493091,11041.303574493091,1.024239668,1.024264899,1.024255323,4.26083701888,11069.979299205708,False,False,False,False,False,False,False,False,False
01-05 7:00,0,0.0703,2882.97,871.866,0.0,-0.0,0.0,0.0,11964.495026315784,2882.97,11056.8439134378,11056.8439134378,1.026199883,1.026227946,1.026217537,4.2689915132800005,11091.165297121963,False,False,False,False,False,False,False,False,False
01-05 8:00,0,0.0703,2786.885,810.303,0.0,-0.0,0.0,0.0,11964.495026315784,2786.885,11057.262518475049,11057.262518475049,1.025806466,1.025831656,1.02582133,4.26735489856,11086.913247350778,False,False,False,False,False,False,False,False,False
01-05 9:00,0,0.0703,2548.612,658.704,0.0,-0.0,0.0,0.0,11964.495026315784,2548.612,10969.107185415724,10969.107185415724,1.01673485,1.016897355,1.0168364,4.229616976,10988.867248481749,False,False,False,False,False,False,False,False,False
01-05 10:00,1,0.0703,-4701.29,964.801,-4701.29,4701.29,4701.29,0.0,11964.495026315784,0.0,10601.543673257098,10601.543673257098,0.9849516345,0.9850753346,0.9850180021,4.0973987995200005,10645.354349460547,False,False,False,False,False,False,False,False,False
01-05 11:00,1,0.0703,-6464.39,1227.579,-6464.39,6464.39,6464.39,0.0,16430.720526315785,0.0,10501.210704983623,10501.210704983623,0.9782310692,0.9783224183,0.9782741207,4.069441247872001,10572.718499596196,False,False,False,False,False,False,False,False,False
01-05 12:00,1,0.0703,-6903.75,1216.27,-6903.75,6903.75,0.0,0.0,22571.891026315785,-6903.75,10468.323736581327,10468.323736581327,0.9750875636,0.9751760397,0.9751277838,4.0563642645760005,10538.743500378594,False,False,False,False,False,False,False,False,False
01-05 13:00,1,0.0703,-5869.81,876.335,-5869.81,5869.81,5869.81,0.0,22571.891026315785,0.0,10509.861128299395,10509.861128299397,0.9757897936,0.9759092468,0.9758502072,4.059285541376,10546.333200139452,False,False,False,False,False,False,False,False,False
