Time_stamp,Irradiance,P1 (kW),Q1 (kvar),P2 (kW),Q2 (kvar),P3 (kW),Q3 (kvar)
01-04 17:00,5,544.821,30.2372,360.986,-44.7203,442.819,-26.0429
01-04 18:00,0,605.286,66.4201,400.919,-18.91,492.043,2.42877
01-04 19:00,0,638.739,86.5629,422.93,-4.626,519.195,18.1996
01-04 20:00,0,671.561,106.422,444.696,9.54894,546.784,30.9565
01-04 21:00,0,914.156,248.517,604.765,107.938,744.744,140.584
01-04 22:00,0,959.219,273.434,633.501,127.106,780.577,161.968
01-04 23:00,0,987.939,291.543,652.466,139.768,804.056,176.026
01-05 0:00,0,1027.76,316.763,678.699,157.336,836.614,195.578
01-05 1:00,0,1058.1,332.74,697.582,170.059,860.261,209.809
01-05 2:00,0,1077.04,344.842,710.143,178.51,875.78,219.177
01-05 3:00,0,1104.08,358.182,727.841,186.837,897.727,228.726
01-05 4:00,0,1127.26,373.064,743.106,197.143,916.694,240.208
01-05 5:00,0,1145.04,384.506,754.846,205.082,931.24,249.031
01-05 6:00,0,907.393,237.162,599.563,100.986,738.481,133.219
01-05 7:00,0,907.06,236.955,599.337,100.836,738.203,133.054
01-05 8:00,0,865.223,214.355,572.819,83.2321,704.22,116.268
01-05 9:00,122,818.306,185.332,541.296,65.8297,666.055,93.6961
01-05 10:00,236,-1864.67,310.072,-2102.35,249.176,-1995.27,278.509
01-05 11:00,307,-2609.7,482.232,-2822.88,429.092,-2723.93,469.307
01-05 12:00,346,-3076.37,598.616,-3271.91,546.939,-3192.22,598.598
01-05 13:00,353,-3170.48,602.758,-3341.95,552.504,-3274.67,606.873
01-05 14:00,301,-2627,421.797,-2802.93,373.895,-2736.1,413.442
01-05 15:00,193,607.375,71.0223,402.944,-17.6332,494.398,3.7821
01-05 16:00,72,640.593,87.6822,424.147,-3.83465,520.703,19.0768
01-05 17:00,8,665.265,102.607,440.539,6.84082,541.648,27.9588
01-05 18:00,0,685.194,114.695,453.714,15.4286,557.903,37.453
01-05 19:00,0,682.607,113.124,451.981,14.2986,555.783,36.2138
01-05 20:00,0,682.777,113.228,452.096,14.3738,555.923,36.2956
01-05 21:00,0,892.472,235.373,589.55,101.389,726.144,133.127
01-05 22:00,0,898.64,239.226,593.653,104.112,731.199,136.136
01-05 23:00,0,887.903,232.52,586.544,99.394,722.421,130.912
01-06 0:00,0,876.947,225.688,579.323,94.6058,713.479,125.596
01-06 1:00,0,869.267,220.905,574.268,91.256,707.213,121.874
01-06 2:00,0,863.346,217.22,570.369,88.6742,702.382,119.006
01-06 3:00,0,867.227,219.636,572.946,90.3804,705.556,120.891
01-06 4:00,0,870.772,221.843,575.281,91.9273,708.449,122.609
01-06 5:00,0,883.102,229.527,583.425,97.3247,718.52,128.593
01-06 6:00,0,708.123,121.679,468.136,21.4429,575.889,44.4539
01-06 7:00,0,703.479,118.85,465.067,19.4381,572.111,42.2422
01-06 8:00,0,679.944,104.543,449.524,9.29807,552.923,31.0257
01-06 9:00,58,666.532,96.4116,440.691,3.54459,541.999,24.6514
01-06 10:00,102,625.167,74.834,414.115,-13.7632,508.997,5.42628
01-06 11:00,108,612.211,67.0392,405.538,-19.3245,498.424,-0.714955
01-06 12:00,107,584.767,50.5722,387.404,-31.0755,475.374,-10.6905
01-06 13:00,100,573.881,44.0571,380.208,-35.7261,466.514,-15.8151
01-06 14:00,80,566.556,39.6791,375.373,-38.8489,460.552,-19.2608
01-06 15:00,55,575.071,44.7701,381.01,-35.2082,467.489,-15.2513
01-06 16:00,21,584.735,50.5537,387.395,-31.0818,475.357,-10.6999
01-06 17:00,3,597.768,58.3656,396.006,-25.5106,485.971,-4.55441
01-06 18:00,0,612.344,67.1177,405.634,-19.2743,497.842,2.32698
01-06 19:00,0,605.501,63.0067,401.097,-22.2137,492.263,-0.908486
01-06 20:00,0,607.463,64.1847,402.4,-21.37,493.863,0.0191703
01-06 21:00,0,774.77,165.818,512.793,50.6593,630.109,79.6102
01-06 22:00,0,778.206,167.93,515.071,52.1567,632.917,81.2636
01-06 23:00,0,770.543,163.222,509.996,48.8218,626.662,77.5817
01-07 0:00,0,760.034,156.774,503.054,44.2639,618.091,72.5419
01-07 1:00,0,752.791,152.335,498.277,41.1292,612.187,69.0725
01-07 2:00,0,765.45,160.097,506.663,46.6327,622.52,75.1462
01-07 3:00,0,809.29,187.07,535.491,65.5967,658.166,96.1457
01-07 4:00,0,876.959,225.696,579.337,94.6157,713.505,125.612
01-07 5:00,0,951.323,268.468,628.315,123.648,774.14,158.12
01-07 6:00,0,785.13,165.141,518.882,51.2245,638.626,77.7262
01-07 7:00,0,805.565,177.725,532.385,60.1052,655.315,87.565
01-07 8:00,0,795.158,171.311,525.477,55.5604,646.809,82.5474
01-07 9:00,125,774.262,161.866,512.545,47.0239,630.615,73.0033
01-07 10:00,234,-1865.6,297.409,-2095.63,237.925,-1992.66,266.748
01-07 11:00,311,-2661.77,490.515,-2877.9,437.774,-2780.51,479.274
01-07 12:00,370,-3294.92,683.642,-3484.78,631.226,-3395.7,688.042
01-07 13:00,372,-3347.7,681.76,-3534.2,631.044,-3450.39,689.486
01-07 14:00,301,-2604.28,429.646,-2790.06,380.855,-2709.11,420.228
01-07 15:00,181,639.301,86.9022,423.301,-4.38489,519.653,18.466
01-07 16:00,63,701.083,124.356,464.187,22.2668,570.869,45.0385
01-07 17:00,9,742.274,145.899,491.44,36.6535,604.538,61.2423
01-07 18:00,0,780.275,169.201,516.529,53.1199,635.56,79.4908
01-07 19:00,0,792.47,176.703,524.592,58.4231,645.524,85.3653
01-07 20:00,0,811.803,188.619,537.24,66.7531,661.188,94.6111
01-07 21:00,0,802.089,182.625,530.817,62.5218,653.254,89.9247
01-07 22:00,0,1043.23,326.597,688.844,164.147,849.209,203.159
01-07 23:00,0,1056.07,331.447,696.249,169.163,858.606,208.812
01-08 0:00,0,1075.8,344.048,709.328,177.962,874.767,218.565
01-08 1:00,0,1077.13,344.898,710.151,178.517,875.83,219.206
01-08 2:00,0,1091.17,349.914,719.347,181.112,887.184,222.353
01-08 3:00,0,1093.62,351.482,720.971,182.206,889.213,223.579
01-08 4:00,0,1077.19,340.98,710.284,175.009,875.949,215.573
01-08 5:00,0,1086.17,346.722,716.212,179,883.289,220.005
01-08 6:00,0,1058.69,329.179,698.093,166.812,860.833,206.459
01-08 7:00,0,1018.76,303.808,671.815,149.186,828.238,186.855
01-08 8:00,0,736.336,138.652,487.475,30.5814,598.819,57.7095
01-08 9:00,68,690.572,110.788,457.255,10.8375,561.529,35.8945
01-08 10:00,141,680.857,104.894,450.832,6.65025,553.608,31.2718
01-08 11:00,187,678.794,103.645,449.479,5.7688,551.93,30.2936
01-08 12:00,197,-1535.2,193.597,-1740.53,136.678,-1650.88,159.848
01-08 13:00,179,605.758,70.0509,401.883,-18.3216,493.09,3.02317
01-08 14:00,151,588.61,59.763,390.529,-25.6742,479.098,-5.08751
01-08 15:00,121,586.913,58.7475,389.421,-26.3915,477.72,-5.88538
01-08 16:00,58,605.866,70.1164,401.972,-18.264,493.177,3.07429
01-08 17:00,9,620.097,75.3286,410.687,-12.5754,504.099,9.42622
01-08 18:00,0,629.769,81.1563,417.093,-8.41782,511.985,14.0083
01-08 19:00,0,797.806,179.992,527.995,60.6595,648.897,90.6787
01-08 20:00,0,811.266,188.29,536.792,66.4542,659.762,97.0882
01-08 21:00,0,814.953,190.564,539.333,68.1329,663.784,96.145
01-08 22:00,0,813.075,189.404,538.081,67.308,662.231,95.227
01-08 23:00,0,859.963,215.118,568.126,87.191,699.612,117.363
01-09 0:00,0,885.339,230.921,584.88,98.2894,720.337,129.673
01-09 1:00,0,883.779,229.948,583.845,97.6032,719.062,128.915
01-09 2:00,0,890.226,233.97,588.108,100.431,724.33,132.048
01-09 3:00,0,890.742,234.293,588.438,100.65,724.748,132.296
01-09 4:00,0,891.41,234.71,588.878,100.942,725.293,132.621
01-09 5:00,0,893.036,235.725,589.951,101.654,726.621,133.41
01-09 6:00,0,706.314,120.577,466.943,20.6637,574.415,43.591
01-09 7:00,0,700.787,117.212,463.29,18.2783,569.917,40.9583
01-09 8:00,0,713.314,124.843,471.573,23.6887,580.135,46.9397
01-09 9:00,67,705.066,119.816,466.109,20.1187,573.403,42.9979
01-09 10:00,98,655.914,93.3845,434.421,-0.571849,534.073,20.0196
01-09 11:00,190,633.106,79.6139,419.325,-10.3814,515.457,9.18165
01-09 12:00,202,-1615.94,182.368,-1804.7,130.189,-1722.92,152.997
01-09 13:00,126,585.851,58.118,388.802,-26.7793,477.605,-9.29403
01-09 14:00,122,585.532,57.9265,388.593,-26.9143,477.347,-9.44383
01-09 15:00,87,594.893,63.5366,394.792,-22.9028,484.99,-5.0127
01-09 16:00,35,604.12,69.0732,400.888,-18.954,492.528,-0.639303
01-09 17:00,5,628.763,80.5545,416.496,-8.79387,511.953,10.6599
01-09 18:00,0,653.904,95.7303,433.03,1.95208,532.368,22.5465
01-09 19:00,0,654.237,95.9316,433.253,2.09755,532.643,22.7066
01-09 20:00,0,665.552,102.781,440.735,6.96832,541.876,28.0919
01-09 21:00,0,860.66,215.551,568.586,87.495,700.181,117.701
01-09 22:00,0,895.053,236.985,591.284,102.539,728.268,134.39
01-09 23:00,0,927.656,253.613,612.73,113.271,754.8,146.576
01-10 0:00,0,952.448,269.175,629.077,124.156,775.066,158.674
01-10 1:00,0,972.066,281.524,642.042,132.803,791.105,168.268
01-10 2:00,0,1005.89,302.893,664.292,147.68,818.72,184.824
01-10 3:00,0,1029.9,318.125,680.113,158.284,838.368,196.633
01-10 4:00,0,1052.23,329,693.725,167.466,855.473,206.923
01-10 5:00,0,1108.66,361.116,730.851,188.868,901.465,230.987
01-10 6:00,0,899.024,231.94,594.045,97.3264,731.647,129.156
01-10 7:00,0,898.277,231.475,593.545,96.9948,731.032,128.79
01-10 8:00,0,861.643,212.134,570.455,81.6687,701.297,114.537
01-10 9:00,117,819.961,186.353,542.388,66.5489,667.406,94.4933
01-10 10:00,216,-1637.28,270.584,-1878.83,206.725,-1770.54,233.753
01-10 11:00,299,-2533.69,454.562,-2744.86,401.633,-2647.76,440.255
01-10 12:00,325,-2866.25,522.216,-3061.92,471.381,-2974.21,516.841
01-10 13:00,315,-2802.02,477.236,-2975.16,427.797,-2905.92,471.301
01-10 14:00,290,-2553.85,391.891,-2723.17,344.132,-2656.98,381.26
01-10 15:00,200,-1548.12,186.387,-1741.97,132.556,-1663.68,153.224
01-10 16:00,81,653.42,95.4196,432.513,1.61556,531.738,22.1776
01-10 17:00,12,676.72,109.532,447.926,11.6529,550.749,33.2713
01-10 18:00,0,697.213,121.981,461.448,20.4757,567.46,43.0413
01-10 19:00,0,700.936,124.247,463.886,22.0689,570.489,44.8144
01-10 20:00,0,704.61,126.484,466.311,23.6532,573.486,46.5691
01-10 21:00,0,905.246,242.927,598.732,103.93,737.27,136.132
01-10 22:00,0,910.017,245.908,601.887,106.025,741.186,138.464
01-10 23:00,0,904.52,242.474,598.24,103.604,736.687,135.784
01-11 0:00,0,888.657,232.579,587.754,96.6472,723.719,128.07
01-11 1:00,0,873.538,223.196,578.066,90.2289,711.696,120.932
01-11 2:00,0,933.375,260.553,617.57,116.453,760.607,150.045
01-11 3:00,0,939.979,264.694,621.931,119.355,766.009,153.27
01-11 4:00,0,925.587,255.676,612.392,113.009,754.227,146.239
01-11 5:00,0,938.393,263.699,620.896,118.666,764.717,152.499
01-11 6:00,0,749.746,146.849,496.433,36.4554,610.703,61.2981
01-11 7:00,0,755.278,150.235,500.088,38.8515,615.218,63.9505
01-11 8:00,0,727.113,133.023,481.384,26.5958,591.299,53.3036
01-11 9:00,31,707.112,120.838,468.158,17.9519,575,43.7646
01-11 10:00,44,687.529,108.939,455.226,9.51413,559.04,34.4412
01-11 11:00,43,723.727,130.958,479.158,25.1397,588.552,51.6949
01-11 12:00,51,730.618,135.162,483.714,28.1201,594.173,54.9873
01-11 13:00,49,714.468,125.315,473.02,21.1281,580.998,47.2725
01-11 14:00,34,691.136,111.128,457.603,11.0642,561.978,36.1559
01-11 15:00,22,692.764,112.12,458.709,11.7853,563.316,36.9382
01-11 16:00,9,754.98,150.052,499.798,38.6548,614.034,66.6355
01-11 17:00,1,816.945,188.137,540.61,65.4826,664.47,96.3264
01-11 18:00,0,869.454,220.661,575.28,88.3832,707.304,121.671
01-11 19:00,0,876.744,225.194,580.097,91.5725,713.257,125.202
01-11 20:00,0,886.096,231.016,586.273,95.6651,720.892,129.735
01-11 21:00,0,1170.52,400.957,771.497,216.366,952.007,261.646
01-11 22:00,0,1151.14,388.44,758.797,207.758,936.201,252.041
01-11 23:00,0,1145.92,385.075,755.354,205.427,931.93,249.448
01-12 0:00,0,1150.99,388.341,758.72,207.705,936.083,251.97
01-12 1:00,0,1143.51,383.519,753.76,204.348,929.955,248.249
01-12 2:00,0,1143.02,383.205,753.461,204.145,929.565,248.013
01-12 3:00,0,1147.99,386.407,756.747,206.369,933.632,250.482
01-12 4:00,0,1187.73,412.094,782.887,224.095,966.109,270.23
01-12 5:00,0,1213.01,428.502,799.505,235.395,986.771,282.83
01-12 6:00,0,955.191,267.091,630.989,121.878,777.393,156.411
01-12 7:00,0,957.713,268.676,632.626,122.97,779.439,157.633
01-12 8:00,0,966.897,274.451,638.694,127.014,786.946,162.121
01-12 9:00,27,942.031,258.831,622.279,116.08,766.629,149.985
01-12 10:00,68,859.48,210.792,569.026,80.7244,699.531,113.491
01-12 11:00,120,828.603,191.682,548.614,67.2497,674.332,98.5898
01-12 12:00,137,772.93,161.077,511.879,46.5823,628.952,75.4037
01-12 13:00,122,730.523,135.124,483.851,28.211,594.355,55.0951
01-12 14:00,111,704.839,119.471,466.852,17.0999,573.397,42.828
01-12 15:00,95,708.025,121.416,468.996,18.5005,576.009,44.3574
01-12 16:00,51,732.17,136.133,484.977,28.9477,595.711,55.8909
01-12 17:00,11,754.281,149.648,499.582,38.5138,613.745,66.4688
01-12 18:00,0,773.484,161.417,512.264,46.835,629.411,75.6739
01-12 19:00,0,781.41,166.284,517.484,50.2642,635.872,79.475
01-12 20:00,0,781.595,166.397,517.595,50.3371,636.018,79.5608
01-12 21:00,0,998.607,298.318,659.769,144.654,813.12,181.466
01-12 22:00,0,1005.61,302.752,664.412,147.761,818.859,184.912
01-12 23:00,0,1002.93,301.053,662.619,146.561,816.656,183.588
01-13 0:00,0,1000.88,299.758,661.272,145.66,814.984,182.585
01-13 1:00,0,1008.94,304.859,666.607,149.231,821.58,186.546
01-13 2:00,0,1012.97,307.411,669.252,151.003,824.868,188.52
01-13 3:00,0,1009.38,305.138,666.87,149.407,821.929,186.754
01-13 4:00,0,1009.71,305.346,667.095,149.558,822.2,186.918
01-13 5:00,0,1018.18,310.717,672.684,153.303,829.15,191.093
01-13 6:00,0,811.867,181.636,536.747,62.9793,660.725,90.7598
01-13 7:00,0,822.042,187.92,543.473,67.4112,669.046,95.6749
01-13 8:00,0,836.126,196.632,552.769,73.5429,680.544,102.474
01-13 9:00,7,827.697,191.416,547.173,69.8516,673.651,98.3959
01-13 10:00,17,793.194,170.126,524.424,54.8687,645.497,81.7765
01-13 11:00,28,818.766,185.897,541.337,66.0027,666.382,94.1011
01-13 12:00,39,806.936,178.592,533.474,60.8239,656.704,88.3857
01-13 13:00,53,765.722,156.65,507.13,43.4701,623.918,69.0653
01-13 14:00,66,725.612,132.128,480.605,26.0873,590.337,52.7416
01-13 15:00,52,720.688,129.126,477.352,23.9601,586.332,50.3963
01-13 16:00,22,784.69,168.299,519.646,51.6849,638.545,81.0482
01-13 17:00,5,844.061,204.93,558.755,77.4564,686.896,109.583
01-13 18:00,0,901.069,240.38,596.411,102.391,733.433,137.19
01-13 19:00,0,931.932,259.685,616.784,115.933,758.642,152.203
01-13 20:00,0,964.973,277.093,637.73,129.927,785.805,165.102
01-13 21:00,0,1311.03,488.491,864.229,275.916,1067.26,328.328
01-13 22:00,0,1353.56,516.528,892.3,295.192,1102.13,349.808
01-13 23:00,0,1378.86,529.96,907.483,305.699,1121.38,361.659
01-14 0:00,0,1399.7,543.811,921.272,315.211,1138.49,372.25
01-14 1:00,0,1418.87,556.562,934.007,323.979,1155.88,379.745
01-14 2:00,0,1437.06,568.715,945.933,332.235,1170.71,388.957
01-14 3:00,0,1451.98,574.27,955.647,335.155,1182.8,392.479
01-14 4:00,0,1453.42,575.237,956.657,335.853,1184.01,393.236
01-14 5:00,0,1460.57,580.018,961.378,339.125,1189.88,396.887
01-14 6:00,0,1129.34,370.425,744.914,194.729,918.847,237.772
01-14 7:00,0,1131.02,371.504,745.999,195.463,920.24,238.616
01-14 8:00,0,1103.97,357.562,729.343,184.183,899.32,225.972
01-14 9:00,111,1073.21,337.931,709.154,170.596,874.294,210.869
01-14 10:00,222,-1469.37,383.733,-1799.88,298.302,-1650.18,328.866
01-14 11:00,318,-2528.13,589.929,-2825.95,525.981,-2690.28,567.509
01-14 12:00,363,-3032.26,717.979,-3306.87,660.861,-3182.78,712.306
01-14 13:00,330,-2708.38,595.014,-2978.21,536.788,-2859.94,581.069
01-14 14:00,237,-1725.34,353.707,-2005.36,283.417,-1883.43,312.632
01-14 15:00,140,842.32,204.162,556.498,79.5012,685.216,108.829
01-14 16:00,59,878.755,226.816,580.542,95.4135,714.964,126.479
01-14 17:00,10,895.035,236.972,591.295,102.545,728.263,134.388
01-14 18:00,0,910.081,242.618,601.258,105.647,740.586,138.108
01-14 19:00,0,910.445,242.846,601.497,105.805,740.898,138.294
01-14 20:00,0,905.4,239.693,598.161,103.59,736.775,135.839
01-14 21:00,0,886.25,227.74,585.509,95.1976,721.13,126.534
01-14 22:00,0,1134.32,380.947,748.853,200.987,923.623,244.424
01-14 23:00,0,1124.13,374.403,742.126,196.44,915.293,239.373
01-15 0:00,0,1106.95,363.375,730.784,188.782,901.229,230.856
01-15 1:00,0,1086,349.971,717.031,179.511,884.122,220.515
01-15 2:00,0,1066.73,337.681,704.476,171.063,868.531,211.11
01-15 3:00,0,1057.02,331.491,698.041,166.738,860.572,206.31
01-15 4:00,0,1051.97,328.279,694.728,164.512,856.451,203.828
01-15 5:00,0,1042.99,322.565,688.797,160.53,849.102,199.404
01-15 6:00,0,1027.88,312.975,678.827,153.844,836.751,191.975
01-15 7:00,0,1011.85,302.812,668.256,146.764,823.644,184.102
01-15 8:00,0,783.222,163.968,517.629,50.4014,637.083,76.8176
01-15 9:00,91,750.226,147.143,496.761,36.6702,611.099,61.5309
01-15 10:00,189,732.248,136.156,484.775,28.8142,595.485,55.7557
01-15 11:00,285,-2398.13,408.582,-2605.85,356.059,-2511.46,391.948
01-15 12:00,299,-2586.9,437.505,-2785.64,386.763,-2698.17,426.099
01-15 13:00,244,-2015.06,280.946,-2212,229.105,-2127.89,258.025
01-15 14:00,207,-1595.45,210.036,-1798.7,154.473,-1715.82,176.493
01-15 15:00,166,656.069,97.0219,434.261,2.75315,533.897,23.4366
01-15 16:00,84,663.177,101.324,438.971,5.81845,539.701,26.8212
01-15 17:00,17,671.748,106.517,444.629,9.50434,546.69,30.9003
01-15 18:00,0,673.543,107.605,445.806,10.2715,548.15,31.753
01-15 19:00,0,854.347,211.602,564.178,84.5776,694.725,114.462
01-15 20:00,0,880.078,227.613,581.157,95.8204,715.729,126.931
01-15 21:00,0,906.409,240.295,598.574,103.863,737.263,136.127
01-15 22:00,0,925.303,252.116,611.058,112.158,752.713,145.331
01-15 23:00,0,939.708,261.148,620.54,118.467,764.468,152.344
01-16 0:00,0,938.95,260.673,620.01,118.115,763.838,151.967
01-16 1:00,0,939.382,260.944,620.297,118.306,764.192,152.178
01-16 2:00,0,942.862,263.128,622.596,119.837,767.034,153.876
01-16 3:00,0,949.644,267.388,627.071,122.818,772.574,157.185
01-16 4:00,0,965.486,277.354,637.526,129.789,785.517,164.923
01-16 5:00,0,981.538,287.469,647.948,136.748,798.467,172.673
01-16 6:00,0,785.937,165.637,519.419,51.5771,639.3,78.1231
01-16 7:00,0,781.08,162.651,516.203,49.4641,635.331,75.7851
01-16 8:00,0,747.78,145.647,495.145,35.6115,609.102,60.358
01-16 9:00,132,712.365,124.036,471.645,20.2298,579.278,46.2675
01-16 10:00,262,-2223.37,321.946,-2415.85,271.972,-2325.57,304.796
01-16 11:00,353,-3227.45,589.631,-3379.35,540.221,-3322.42,596.038
01-16 12:00,402,-3777.9,768.27,-3892.27,712.513,-3850.78,788.901
01-16 13:00,391,-3688.62,714.958,-3796.27,661.119,-3759.55,733.926
01-16 14:00,302,-2734.58,382.891,-2871.17,340.272,-2819.09,381.262
01-16 15:00,182,465.04,-10.2269,308.702,-74.9713,378.287,-59.7333
01-16 16:00,75,474.15,-4.85754,314.672,-71.1464,385.635,-55.522
01-16 17:00,14,497.129,5.38577,329.301,-61.7243,403.793,-45.0828
01-16 18:00,0,506.131,10.7215,335.254,-57.8997,411.117,-40.8728
01-16 19:00,0,456.884,-18.3858,302.737,-78.7548,371.078,-63.8441
01-16 20:00,0,444.41,-25.7283,294.497,-84.026,360.938,-69.6457
01-16 21:00,0,558.09,38.1374,369.588,-39.1728,453.42,-19.9252
