Time_stamp,RPF_Flag,Total_RPF,P (kW),Q (kvar),V1,V2,V3,EnergyCost_USD_per_kWh
01-03 6:00,0,0,2475.576,615.9,1.021221236,1.02123914,1.021232436,0.0481
01-03 7:00,0,0,2552.9,664.772,1.022780041,1.022799693,1.022792157,0.0703
01-03 8:00,0,0,2416.069,578.389,1.021970224,1.021986087,1.021978759,0.0703
01-03 9:00,0,0,2179.517,437.0521,1.017983093,1.018034096,1.018012279,0.0703
01-03 10:00,0,0,2124.228,402.6341,1.017346564,1.017401648,1.017378332,0.0703
01-03 11:00,0,0,2024.999,344.4507,1.015999894,1.016057643,1.016033245,0.0703
01-03 12:00,0,0,1862.617,254.8991,1.012904853,1.012978756,1.012948487,0.0703
01-03 13:00,0,0,1835.11,237.9811,1.011038859,1.011126211,1.011091446,0.0703
01-03 14:00,0,0,1764.656,194.737,1.009791033,1.00986348,1.009834335,0.0703
01-03 15:00,0,0,1652.129,129.33203,1.008666866,1.008711708,1.008692888,0.0703
01-03 16:00,0,0,1654.367,130.6966,1.010879602,1.010870443,1.010874606,0.0703
01-03 17:00,0,0,1620.705,110.18093,1.009613748,1.009604713,1.009610167,0.0703
01-03 18:00,0,0,1666.258,137.95071,1.009446539,1.009439918,1.009446039,0.0999
01-03 19:00,0,0,1843.649,246.586,1.01101138,1.01101063,1.011016793,0.0999
01-03 20:00,0,0,1830.102,238.2622,1.010487934,1.010488434,1.010494679,0.0999
01-03 21:00,0,0,1756.721,193.2501,1.009422015,1.009422348,1.009428344,0.0999
01-03 22:00,0,0,1669.759,140.08611,1.008312337,1.008311795,1.008317416,0.0481
01-03 23:00,0,0,1593.319,93.5106,1.007461009,1.00745976,1.007464548,0.0481
01-04 0:00,0,0,1532.944,56.83344,1.007051229,1.007050313,1.007052353,0.0481
01-04 1:00,0,0,1496.661,45.24732,1.007162063,1.007160481,1.007161439,0.0481
01-04 2:00,0,0,1553.01,79.44063,1.008406059,1.008405643,1.008405143,0.0481
01-04 3:00,0,0,1610.754,114.558888,1.009761763,1.009762305,1.009760223,0.0481
01-04 4:00,0,0,1676.389,154.5889,1.011262111,1.011264026,1.011260487,0.0481
01-04 5:00,0,0,1737.263,191.8151,1.012743639,1.012746678,1.012741765,0.0481
01-04 6:00,0,0,1794.309,220.1678,1.014102008,1.014105839,1.01409976,0.0481
01-04 7:00,0,0,1900.885,285.7558,1.016018297,1.016024002,1.016016965,0.0703
01-04 8:00,0,0,1835.887,245.718,1.016011011,1.01601455,1.01600768,0.0703
01-04 9:00,0,0,1689.039,155.6748,1.014633115,1.01463961,1.014630866,0.0703
01-04 10:00,1,-5419.94,-5419.94,625.957,0.9826558761,0.9826375564,0.9826318523,0.0703
01-04 11:00,1,-6763.93,-6763.93,859.855,0.9766999946,0.9766829239,0.9766752629,0.0703
01-04 12:00,1,-6018.74,-6018.74,643.687,0.9784833408,0.9784509897,0.9784491578,0.0703
01-04 13:00,1,-6700.61,-6700.61,717.745,0.9748192622,0.9747608888,0.9747681334,0.0703
01-04 14:00,1,-4606.96,-4606.96,275.9062,0.9798003239,0.9797778406,0.9797734688,0.0703
01-04 15:00,0,0,1331.434,-47.5738,1.005082811,1.005124281,1.005103921,0.0703
01-04 16:00,0,0,1602.306,113.173879,1.010366649,1.010357114,1.010359779,0.0703
01-04 17:00,0,0,1805.22,226.8201,1.011853173,1.011849218,1.011852674,0.0703
01-04 18:00,0,0,2015.359,353.1327,1.013617367,1.013620156,1.013623737,0.0999
01-04 19:00,0,0,2269.03,500.364,1.0158463,1.015857167,1.015859915,0.0999
01-04 20:00,0,0,2293.215,515.515,1.01574983,1.015762653,1.01576536,0.0999
01-04 21:00,0,0,2323.175,534.302,1.015928739,1.015943478,1.015945934,0.0999
01-04 22:00,0,0,2371.125,561.109,1.016431825,1.016448271,1.016450103,0.0481
01-04 23:00,0,0,2373.775,562.774,1.016564768,1.016581422,1.016582754,0.0481
01-05 0:00,0,0,2393.355,575.097,1.01696976,1.016984998,1.016985082,0.0481
01-05 1:00,0,0,2407.024,583.703,1.017438288,1.017453901,1.017452569,0.0481
01-05 2:00,0,0,2455.675,614.376,1.018410235,1.018427305,1.018424224,0.0481
01-05 3:00,0,0,2515.896,652.431,1.019611137,1.019629707,1.019624835,0.0481
01-05 4:00,0,0,2569.962,686.684,1.020827653,1.02084768,1.020841185,0.0481
01-05 5:00,0,0,2642.104,729.208,1.022277205,1.022299272,1.022291236,0.0481
01-05 6:00,0,0,2764.94,796.277,1.024239668,1.024264899,1.024255323,0.0481
01-05 7:00,0,0,2882.97,871.866,1.026199883,1.026227946,1.026217537,0.0703
01-05 8:00,0,0,2786.885,810.303,1.025806466,1.025831656,1.02582133,0.0703
01-05 9:00,0,0,2548.612,658.704,1.01673485,1.016897355,1.0168364,0.0703
01-05 10:00,1,-4701.29,-4701.29,964.801,0.9849516345,0.9850753346,0.9850180021,0.0703
01-05 11:00,1,-6464.39,-6464.39,1227.579,0.9782310692,0.9783224183,0.9782741207,0.0703
01-05 12:00,1,-6903.75,-6903.75,1216.27,0.9750875636,0.9751760397,0.9751277838,0.0703
01-05 13:00,1,-5869.81,-5869.81,876.335,0.9757897936,0.9759092468,0.9758502072,0.0703
01-05 14:00,0,0,1900.232,285.3279,1.005115537,1.005312308,1.005237905,0.0703
01-05 15:00,0,0,1923.731,299.83,1.005552214,1.0057178,1.005654263,0.0703
01-05 16:00,0,0,2120.337,415.0842,1.016350593,1.016351301,1.016352716,0.0703
01-05 17:00,0,0,2215.192,474.282,1.016582255,1.016586418,1.016588667,0.0703
01-05 18:00,0,0,2289.625,509.974,1.016561229,1.01656864,1.016571055,0.0999
01-05 19:00,0,0,2407.176,583.832,1.017249261,1.017261335,1.0172635,0.0999
01-05 20:00,0,0,2306.232,520.386,1.01577148,1.01578243,1.015785137,0.0999
01-05 21:00,0,0,2275.082,500.86,1.015281052,1.01529221,1.015294958,0.0999
01-05 22:00,0,0,2231.006,473.287,1.014789957,1.014800824,1.01480328,0.0481
01-05 23:00,0,0,2121.519,404.9928,1.013624445,1.013633272,1.013635104,0.0481
01-06 0:00,0,0,2007.219,334.0313,1.012409511,1.012412592,1.01241534,0.0481
01-06 1:00,0,0,1935.474,289.6653,1.011910131,1.011912046,1.011913462,0.0481
01-06 2:00,0,0,1928.997,285.6663,1.01231225,1.01231429,1.01231429,0.0481
01-06 3:00,0,0,1946.263,296.3341,1.013101915,1.013104622,1.013103164,0.0481
01-06 4:00,0,0,1956.029,302.3666,1.013903488,1.013906611,1.013903821,0.0481
01-06 5:00,0,0,2005.781,333.1535,1.015205774,1.015210271,1.015206024,0.0481
01-06 6:00,0,0,2086.978,383.5136,1.016864837,1.016870791,1.016865462,0.0481
01-06 7:00,0,0,2194.407,450.4237,1.018766721,1.018774965,1.018768553,0.0703
01-06 8:00,0,0,2101.316,392.4259,1.018434925,1.018440129,1.018434009,0.0703
01-06 9:00,0,0,1914.058,279.8189,1.016683596,1.016689675,1.016681973,0.0703
01-06 10:00,0,0,1892.494,266.5219,1.016753128,1.016756875,1.016749881,0.0703
01-06 11:00,0,0,1847.532,238.8522,1.016449894,1.016446938,1.016442608,0.0703
01-06 12:00,0,0,1806.83,217.2398,1.015790591,1.01578243,1.015780349,0.0703
01-06 13:00,0,0,1776.163,198.4229,1.0148221,1.014811608,1.014811025,0.0703
01-06 14:00,0,0,1762.701,190.1723,1.01383762,1.013825421,1.013826545,0.0703
01-06 15:00,0,0,1804.035,215.5265,1.013387204,1.013375588,1.013378044,0.0703
01-06 16:00,0,0,1894.38,271.0883,1.013546586,1.013537343,1.01354109,0.0703
01-06 17:00,0,0,1914.893,283.7336,1.012937703,1.012929959,1.012934872,0.0703
01-06 18:00,0,0,1959.235,311.1053,1.012703793,1.01269863,1.012704126,0.0999
01-06 19:00,0,0,2062.987,375.3455,1.013312593,1.013311677,1.013317172,0.0999
01-06 20:00,0,0,1981.565,324.9026,1.012004061,1.012002812,1.0120086,0.0999
01-06 21:00,0,0,1958.898,310.8871,1.011579667,1.011579293,1.011584955,0.0999
01-06 22:00,0,0,1894.98,271.4403,1.010815691,1.010815025,1.010820271,0.0481
01-06 23:00,0,0,1809.911,219.132,1.009900411,1.009898579,1.009902951,0.0481
01-07 0:00,0,0,1699.254,151.34527,1.00874689,1.008741061,1.008746682,0.0481
01-07 1:00,0,0,1632.134,113.76391,1.008397066,1.008390279,1.008394776,0.0481
01-07 2:00,0,0,1678.385,141.97299,1.00945141,1.009445706,1.009448787,0.0481
01-07 3:00,0,0,1791.329,211.0867,1.011341552,1.011338554,1.011339762,0.0481
01-07 4:00,0,0,1956.424,312.7104,1.013864559,1.013865142,1.013864684,0.0481
01-07 5:00,0,0,2149.034,428.8442,1.016687677,1.016692465,1.016690092,0.0481
01-07 6:00,0,0,2326.969,540.089,1.019377643,1.019386262,1.019382598,0.0481
01-07 7:00,0,0,2523.718,657.419,1.022201011,1.022214334,1.02220938,0.0703
01-07 8:00,0,0,2526.244,659.023,1.022866685,1.022879467,1.022874262,0.0703
01-07 9:00,1,-3007.89,-3007.89,695.745,0.9912504705,0.9913592649,0.9913118833,0.0703
01-07 10:00,1,-5669.98,-5669.98,1102.026,0.9812491261,0.9813458462,0.981299339,0.0703
01-07 11:00,1,-6634.98,-6634.98,1262.698,0.9773876521,0.9774691334,0.9774264567,0.0703
01-07 12:00,1,-7015.21,-7015.21,1289.378,0.9742088392,0.9743184248,0.9742641316,0.0703
01-07 13:00,1,-6245.12,-6245.12,1052.494,0.9746288616,0.9747634702,0.9747003503,0.0703
01-07 14:00,1,-3919.92,-3919.92,605.914,0.9812290993,0.981363583,0.9813033776,0.0703
01-07 15:00,0,0,2069.969,383.7479,1.008016722,1.008155578,1.008103242,0.0703
01-07 16:00,0,0,2325.582,532.528,1.018490633,1.018490217,1.018494797,0.0703
01-07 17:00,0,0,2461.954,618.376,1.01910776,1.019112132,1.019117211,0.0703
01-07 18:00,0,0,2592.255,697.565,1.019650774,1.019659976,1.019664889,0.0999
01-07 19:00,0,0,2749.044,786.122,1.020579295,1.020594367,1.020598531,0.0999
01-07 20:00,0,0,2729.517,773.656,1.020008676,1.020024414,1.020028786,0.0999
01-07 21:00,0,0,2694.057,751.05,1.01953103,1.019546726,1.019551306,0.0999
01-07 22:00,0,0,2600.744,691.742,1.018605507,1.01861933,1.018624201,0.0481
01-07 23:00,0,0,2550.393,659.822,1.018220542,1.018233366,1.018238029,0.0481
01-08 0:00,0,0,2524.994,643.752,1.018162418,1.018175408,1.018180113,0.0481
01-08 1:00,0,0,2476.614,613.179,1.017937751,1.017949659,1.017953198,0.0481
01-08 2:00,0,0,2517.281,638.886,1.018812853,1.018825677,1.018827675,0.0481
01-08 3:00,0,0,2531.147,647.653,1.019483648,1.019496847,1.01949718,0.0481
01-08 4:00,0,0,2475.433,612.438,1.019475737,1.019487937,1.019486771,0.0481
01-08 5:00,0,0,2492.997,623.537,1.020363413,1.020376112,1.020373697,0.0481
01-08 6:00,0,0,2453.541,601.999,1.020697541,1.020709365,1.020706076,0.0481
01-08 7:00,0,0,2473.484,614.577,1.021632265,1.021644215,1.02164026,0.0703
01-08 8:00,0,0,2381.434,556.604,1.021290768,1.021300011,1.021296056,0.0703
01-08 9:00,0,0,2174.503,433.9292,1.01832842,1.018357898,1.01834495,0.0703
01-08 10:00,1,-4401.39,-4401.39,711.63,0.9883585702,0.9883468289,0.9883420407,0.0703
01-08 11:00,1,-4496.91,-4496.91,655.78,0.9871058727,0.9870857626,0.987083431,0.0703
01-08 12:00,1,-3941.89,-3941.89,517.463,0.9884207325,0.9883907547,0.9883921703,0.0703
01-08 13:00,0,0,1832.542,243.6624,1.014685992,1.014689615,1.014686159,0.0703
01-08 14:00,0,0,1784.634,214.2248,1.012714785,1.012725777,1.012720115,0.0703
01-08 15:00,0,0,1787.566,216.0278,1.009879551,1.009921645,1.009904783,0.0703
01-08 16:00,0,0,1871.374,267.5659,1.013318088,1.01330668,1.013313717,0.0703
01-08 17:00,0,0,1899.487,284.8946,1.012793144,1.012783276,1.012791437,0.0703
01-08 18:00,0,0,2000.273,347.1548,1.013223742,1.013217954,1.013226573,0.0999
01-08 19:00,0,0,2132.542,422.6881,1.014123659,1.014123034,1.014131361,0.0999
01-08 20:00,0,0,2065.08,380.71,1.0129875,1.012986792,1.012995452,0.0999
01-08 21:00,0,0,2020.295,352.905,1.012305963,1.01230563,1.012314165,0.0999
01-08 22:00,0,0,1977.285,326.2552,1.011777146,1.011776771,1.01178489,0.0481
01-08 23:00,0,0,2021.088,353.4067,1.012371706,1.012373038,1.012380241,0.0481
01-09 0:00,0,0,2001.487,341.2479,1.0123904,1.012394689,1.012399852,0.0481
01-09 1:00,0,0,1942.919,304.9936,1.012053025,1.012056106,1.012060187,0.0481
01-09 2:00,0,0,1969.876,321.68,1.012860969,1.012864591,1.012866964,0.0481
01-09 3:00,0,0,1968.895,321.0692,1.013470934,1.013474598,1.013475389,0.0481
01-09 4:00,0,0,1975.095,324.9067,1.014257435,1.014261057,1.014260641,0.0481
01-09 5:00,0,0,1977.09,326.1413,1.015059965,1.015063504,1.015061881,0.0481
01-09 6:00,0,0,2009.061,345.9494,1.016204201,1.01620849,1.016205659,0.0481
01-09 7:00,0,0,2097.354,400.7765,1.017912437,1.017918349,1.017914602,0.0703
01-09 8:00,0,0,2099.333,402.0091,1.018598595,1.018603758,1.018599927,0.0703
01-09 9:00,0,0,1942.392,304.6771,1.017096083,1.017103827,1.01709804,0.0703
01-09 10:00,0,0,1934.942,300.0732,1.016930622,1.016944445,1.016936284,0.0703
01-09 11:00,0,0,1882.861,267.9178,1.01328961,1.013365054,1.013334951,0.0703
01-09 12:00,0,0,1867.8,258.6438,1.012943491,1.013011565,1.012984252,0.0703
01-09 13:00,0,0,1826.486,233.2233,1.015027989,1.015029863,1.015027531,0.0703
01-09 14:00,0,0,1826.741,233.3798,1.013804978,1.013811681,1.013808226,0.0703
01-09 15:00,0,0,1877.189,264.4419,1.013312884,1.013321336,1.013318838,0.0703
01-09 16:00,0,0,1961.141,316.279,1.014430515,1.014425102,1.014430848,0.0703
01-09 17:00,0,0,2012.155,347.8624,1.01417612,1.014172955,1.014179742,0.0703
01-09 18:00,0,0,2074.922,386.8266,1.014152637,1.014152387,1.014159715,0.0999
01-09 19:00,0,0,2209.723,470.861,1.015100602,1.015105432,1.01511251,0.0999
01-09 20:00,0,0,2180.24,452.4424,1.014402286,1.014407865,1.014415109,0.0999
01-09 21:00,0,0,2158.78,439.0474,1.013989758,1.013996086,1.014003206,0.0999
01-09 22:00,0,0,2185.581,455.7741,1.01426647,1.014274172,1.014280792,0.0481
01-09 23:00,0,0,2188.086,457.3402,1.014376055,1.014384299,1.014390128,0.0481
01-10 0:00,0,0,2176.082,449.844,1.014513162,1.014524612,1.014527193,0.0481
01-10 1:00,0,0,2182.795,454.0361,1.014918237,1.014929728,1.014931061,0.0481
01-10 2:00,0,0,2282.285,505.375,1.016439944,1.016453475,1.016452851,0.0481
01-10 3:00,0,0,2349.318,547.433,1.017769626,1.017784698,1.0177822,0.0481
01-10 4:00,0,0,2390.002,573.019,1.018885133,1.018900955,1.018897041,0.0481
01-10 5:00,0,0,2531.582,662.397,1.021163446,1.021182598,1.021176936,0.0481
01-10 6:00,0,0,2707.13,762.72,1.02372405,1.023747574,1.023740288,0.0481
01-10 7:00,0,0,2847.728,852.571,1.025933872,1.025960894,1.025952441,0.0703
01-10 8:00,0,0,2757.973,795.154,1.025607947,1.02563247,1.025624018,0.0703
01-10 9:00,0,0,2546.131,660.491,1.01787588,1.01801765,1.017965605,0.0703
01-10 10:00,1,-5193.82,-5193.82,1048.256,0.9847957083,0.9848699867,0.9848328059,0.0703
01-10 11:00,1,-6371.97,-6371.97,1181.491,0.9790084103,0.9790853117,0.9790453413,0.0703
01-10 12:00,1,-6885.57,-6885.57,1194.794,0.9756969873,0.9757619392,0.9757253829,0.0703
01-10 13:00,1,-6323.43,-6323.43,968.798,0.9755921899,0.9756556429,0.975619961,0.0703
01-10 14:00,1,-3728.88,-3728.88,493.421,0.9822313572,0.9823511018,0.9822974332,0.0703
01-10 15:00,0,0,1946.384,310.4475,1.005982687,1.006149813,1.006088234,0.0703
01-10 16:00,0,0,2163.753,442.1195,1.016890069,1.016893274,1.016896439,0.0703
01-10 17:00,0,0,2257.985,490.134,1.017024011,1.017030548,1.01703442,0.0703
01-10 18:00,0,0,2326.431,533.036,1.017022096,1.017031839,1.017035919,0.0999
01-10 19:00,0,0,2450.356,611.02,1.017789944,1.0178046,1.017808347,0.0999
01-10 20:00,0,0,2362.362,555.597,1.016465175,1.01647879,1.016482953,0.0999
01-10 21:00,0,0,2289.814,510.059,1.015499598,1.01551238,1.015516794,0.0999
01-10 22:00,0,0,2242.027,480.148,1.014931394,1.01494376,1.014947923,0.0481
01-10 23:00,0,0,2144.539,419.3278,1.01387247,1.01388292,1.013886584,0.0481
01-11 0:00,0,0,2015.202,338.9779,1.012595041,1.012603867,1.012604783,0.0481
01-11 1:00,0,0,1931.222,287.0409,1.011965923,1.011973168,1.011972835,0.0481
01-11 2:00,0,0,2096.012,389.1288,1.014354987,1.014365563,1.014363481,0.0481
01-11 3:00,0,0,2123.47,406.21,1.015269227,1.015280427,1.01527668,0.0481
01-11 4:00,0,0,2083.167,381.142,1.015527827,1.015538195,1.01553324,0.0481
01-11 5:00,0,0,2120.957,404.6475,1.016712159,1.0167234,1.01671703,0.0481
01-11 6:00,0,0,2202.063,455.2033,1.018377509,1.018390624,1.01838288,0.0481
01-11 7:00,0,0,2355.395,551.261,1.020772069,1.020788432,1.020779688,0.0703
01-11 8:00,0,0,2300.465,516.781,1.020848096,1.020862752,1.0208538,0.0703
01-11 9:00,1,-3611,-3611,643.313,0.9934649974,0.9934350196,0.9934351445,0.0703
01-11 10:00,1,-5829.08,-5829.08,1048.861,0.9854637553,0.985415541,0.9854208288,0.0703
01-11 11:00,1,-7108.75,-7108.75,1339.448,0.980638037,0.9805778315,0.9805864502,0.0703
01-11 12:00,1,-7560.4,-7560.4,1427.069,0.9781054123,0.9780405436,0.9780506195,0.0703
01-11 13:00,1,-6398.65,-6398.65,1111.485,0.9804447634,0.9803873892,0.9803954666,0.0703
01-11 14:00,1,-3998.99,-3998.99,663.886,0.9880074135,0.9879676929,0.9879711487,0.0703
01-11 15:00,0,0,2192.639,460.1853,1.01811666,1.018121532,1.01812124,0.0703
01-11 16:00,0,0,2504.79,645.442,1.020721856,1.02073518,1.020735388,0.0703
01-11 17:00,0,0,2735.334,780.702,1.022215001,1.022235819,1.022235735,0.0703
01-11 18:00,0,0,2932.594,903.757,1.023384052,1.023411615,1.023410782,0.0999
01-11 19:00,0,0,3081.523,999.878,1.024238044,1.024271353,1.024269521,0.0999
01-11 20:00,0,0,3016.306,957.709,1.023221714,1.023254148,1.023252815,0.0999
01-11 21:00,0,0,2977.233,932.498,1.022718045,1.022749855,1.022748855,0.0999
01-11 22:00,0,0,2853.901,853.216,1.021524179,1.021552824,1.021552533,0.0481
01-11 23:00,0,0,2741.147,781.082,1.02050535,1.020531164,1.020530998,0.0481
01-12 0:00,0,0,2674.869,738.851,1.020007968,1.02002991,1.020029202,0.0481
01-12 1:00,0,0,2601.855,692.447,1.019523077,1.019543229,1.019541397,0.0481
01-12 2:00,0,0,2594.429,687.734,1.019854415,1.019874276,1.019870945,0.0481
01-12 3:00,0,0,2605.001,694.446,1.020485906,1.020506432,1.020501353,0.0481
01-12 4:00,0,0,2696.349,752.529,1.022103583,1.022126483,1.022119655,0.0481
01-12 5:00,0,0,2779.518,805.599,1.023686286,1.023711476,1.023703024,0.0481
01-12 6:00,0,0,2847.785,849.294,1.025131924,1.025159196,1.025149536,0.0481
01-12 7:00,0,0,2950.382,915.205,1.026917935,1.026947913,1.026937254,0.0703
01-12 8:00,0,0,2911.416,890.143,1.027126822,1.027155259,1.0271446,0.0703
01-12 9:00,0,0,2695.114,751.724,1.025338271,1.025360338,1.025350471,0.0703
01-12 10:00,1,-3733.01,-3733.01,903.674,0.9950948322,0.9950705585,0.9950677689,0.0703
01-12 11:00,1,-5338.93,-5338.93,1070.551,0.9875524587,0.9875136125,0.9875147367,0.0703
01-12 12:00,1,-6357.33,-6357.33,1170.959,0.9821271843,0.9820732242,0.9820790116,0.0703
01-12 13:00,1,-4947.35,-4947.35,827.441,0.9856206808,0.9855720918,0.985576755,0.0703
01-12 14:00,0,0,2118.686,414.0554,1.017898114,1.017901861,1.01789903,0.0703
01-12 15:00,0,0,2189.664,458.3262,1.01713064,1.01714642,1.017140508,0.0703
01-12 16:00,0,0,2370.338,560.646,1.019151852,1.01915918,1.019159929,0.0703
01-12 17:00,0,0,2439.954,604.494,1.019032815,1.019042933,1.019044182,0.0703
01-12 18:00,0,0,2511.034,649.392,1.01899451,1.019007834,1.019009333,0.0999
01-12 19:00,0,0,2679.852,745.352,1.020085078,1.020104522,1.020105354,0.0999
01-12 20:00,0,0,2585.357,685.338,1.018717216,1.018735286,1.018736618,0.0999
01-12 21:00,0,0,2518.879,643.246,1.017881834,1.017899113,1.017900778,0.0999
01-12 22:00,0,0,2479.597,618.432,1.017496703,1.017513565,1.017515106,0.0481
01-12 23:00,0,0,2395.099,565.195,1.016686844,1.016701999,1.016703124,0.0481
01-13 0:00,0,0,2307.767,510.37,1.015816405,1.015826065,1.015828105,0.0481
01-13 1:00,0,0,2279.175,492.471,1.015790008,1.015799251,1.015799917,0.0481
01-13 2:00,0,0,2303.228,507.535,1.016481413,1.016491572,1.016490656,0.0481
01-13 3:00,0,0,2299.693,505.318,1.016972507,1.016982875,1.016980293,0.0481
01-13 4:00,0,0,2295.426,502.647,1.017562279,1.017572771,1.017568858,0.0481
01-13 5:00,0,0,2330.296,524.503,1.0186598,1.01867125,1.018665962,0.0481
01-13 6:00,0,0,2411.87,575.758,1.020292008,1.020305373,1.020298878,0.0481
01-13 7:00,0,0,2569.079,675.018,1.022705762,1.022722833,1.022715297,0.0703
01-13 8:00,0,0,2586.952,686.351,1.023536855,1.023553801,1.023545973,0.0703
01-13 9:00,0,0,2510.993,638.267,1.023235162,1.023249193,1.023241865,0.0703
01-13 10:00,1,-5530.59,-5530.59,1170.403,0.987807728,0.9877619286,0.9877664253,0.0703
01-13 11:00,1,-6984.64,-6984.64,1475.577,0.9821664885,0.9821064496,0.982114985,0.0703
01-13 12:00,1,-5403.55,-5403.55,1115.103,0.9867465555,0.9866969672,0.9867022966,0.0703
01-13 13:00,1,-6114.04,-6114.04,1163.772,0.9821279754,0.9820695603,0.9820775544,0.0703
01-13 14:00,1,-4065.12,-4065.12,743.865,0.9880875209,0.9880439281,0.988048175,0.0703
01-13 15:00,0,0,2301.081,523.852,1.019066082,1.019068622,1.01906933,0.0703
